unit_induk,tahun,headcount,pensiun,mengundurkan_diri,meninggal_dunia,phk,kekosongan
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2020,255,13.67,0.73,0.37,0.2,14.97
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2021,255,10.04,0.82,0.41,0.22,11.49
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2022,255,9.08,0.74,0.37,0.2,10.39
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2023,254,8.17,0.66,0.33,0.18,9.34
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2024,254,7.3,0.57,0.28,0.16,8.31
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2025,254,7.13,0.59,0.29,0.16,8.17
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2026,254,6.44,0.54,0.27,0.15,7.4
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2019,269,17.32,0.96,0.48,0.26,19.02
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2020,269,13.51,0.77,0.39,0.21,14.88
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2021,269,9.92,0.86,0.43,0.24,11.45
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2022,269,8.98,0.78,0.39,0.21,10.36
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2023,267,8.08,0.69,0.34,0.19,9.3
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2024,267,7.21,0.6,0.3,0.16,8.27
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2025,267,7.05,0.62,0.31,0.17,8.15
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,2026,267,6.37,0.57,0.28,0.16,7.38
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2019,210,17.38,0.75,0.38,0.21,18.72
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2020,210,13.57,0.6,0.3,0.17,14.64
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2021,210,9.96,0.67,0.34,0.19,11.16
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2022,210,9.01,0.61,0.3,0.17,10.09
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2023,208,8.11,0.54,0.27,0.15,9.07
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2024,208,7.24,0.46,0.23,0.13,8.06
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2025,208,7.08,0.48,0.24,0.13,7.93
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,2026,208,6.39,0.44,0.22,0.12,7.17
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2019,143,9.76,0.51,0.26,0.14,10.67
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2020,143,7.62,0.41,0.21,0.11,8.35
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2021,143,5.6,0.46,0.23,0.13,6.42
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2022,143,5.06,0.41,0.21,0.11,5.79
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2023,142,4.56,0.37,0.18,0.1,5.21
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2024,142,4.07,0.32,0.16,0.09,4.64
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2025,142,3.98,0.33,0.16,0.09,4.56
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,2026,142,3.59,0.3,0.15,0.08,4.12
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2019,185,11.85,0.66,0.33,0.18,13.02
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2020,185,9.25,0.53,0.27,0.15,10.2
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2021,185,6.79,0.59,0.3,0.16,7.84
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2022,185,6.14,0.53,0.27,0.15,7.09
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2023,181,5.53,0.47,0.23,0.13,6.36
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2024,181,4.94,0.4,0.2,0.11,5.65
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2025,181,4.83,0.42,0.21,0.11,5.57
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,2026,181,4.36,0.39,0.19,0.11,5.05
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2019,151,9.52,0.54,0.27,0.15,10.48
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2020,151,7.43,0.43,0.22,0.12,8.2
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2021,151,5.45,0.48,0.24,0.13,6.3
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2022,151,4.93,0.44,0.22,0.12,5.71
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2023,146,4.44,0.38,0.19,0.1,5.11
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2024,146,3.97,0.33,0.16,0.09,4.55
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2025,146,3.88,0.34,0.17,0.09,4.48
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,2026,146,3.5,0.31,0.16,0.09,4.06
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2019,153,10.64,0.55,0.27,0.15,11.61
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2020,153,8.3,0.44,0.22,0.12,9.08
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2021,153,6.1,0.49,0.25,0.13,6.97
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2022,153,5.51,0.44,0.22,0.12,6.29
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2023,151,4.96,0.39,0.2,0.11,5.66
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2024,151,4.43,0.34,0.17,0.09,5.03
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2025,151,4.33,0.35,0.17,0.1,4.95
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,2026,151,3.91,0.32,0.16,0.09,4.48
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2019,240,14.78,0.86,0.43,0.24,16.31
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2020,240,11.54,0.69,0.34,0.19,12.76
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2021,240,8.47,0.77,0.38,0.21,9.83
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2022,240,7.66,0.69,0.35,0.19,8.89
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2023,239,6.9,0.62,0.31,0.17,8.0
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2024,239,6.16,0.53,0.27,0.15,7.11
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2025,239,6.02,0.55,0.28,0.15,7.0
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,2026,239,5.43,0.51,0.25,0.14,6.33
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2019,210,13.38,0.75,0.38,0.21,14.72
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2020,210,10.44,0.6,0.3,0.17,11.51
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2021,210,7.67,0.67,0.34,0.19,8.87
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2022,210,6.93,0.61,0.3,0.17,8.01
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2023,209,6.24,0.54,0.27,0.15,7.2
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2024,209,5.57,0.47,0.23,0.13,6.4
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2025,209,5.45,0.48,0.24,0.13,6.3
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,2026,209,4.92,0.44,0.22,0.12,5.7
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2019,194,12.17,0.69,0.35,0.19,13.4
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2020,194,9.49,0.56,0.28,0.15,10.48
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2021,194,6.97,0.62,0.31,0.17,8.07
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2022,194,6.31,0.56,0.28,0.15,7.3
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2023,194,5.68,0.5,0.25,0.14,6.57
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2024,194,5.07,0.43,0.22,0.12,5.84
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2025,194,4.95,0.45,0.22,0.12,5.74
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,2026,194,4.47,0.41,0.21,0.11,5.2
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2019,237,16.02,0.85,0.42,0.23,17.52
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2020,237,12.5,0.68,0.34,0.19,13.71
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2021,237,9.18,0.76,0.38,0.21,10.53
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2022,237,8.3,0.68,0.34,0.19,9.51
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2023,234,7.47,0.6,0.3,0.17,8.54
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2024,234,6.67,0.52,0.26,0.14,7.59
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2025,234,6.52,0.54,0.27,0.15,7.48
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,2026,234,5.89,0.5,0.25,0.14,6.78
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2019,577,28.1,2.06,1.03,0.57,31.76
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2020,577,21.93,1.66,0.83,0.46,24.88
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2021,577,16.1,1.85,0.93,0.51,19.39
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2022,577,14.57,1.67,0.83,0.46,17.53
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2023,558,13.11,1.44,0.72,0.4,15.67
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2024,558,11.71,1.25,0.62,0.34,13.92
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2025,558,11.44,1.29,0.64,0.35,13.72
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2026,558,10.33,1.19,0.59,0.33,12.44
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2019,706,31.2,2.52,1.26,0.69,35.67
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2020,706,24.35,2.03,1.01,0.56,27.95
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2021,706,17.88,2.26,1.13,0.62,21.89
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2022,706,16.17,2.04,1.02,0.56,19.79
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2023,688,14.55,1.78,0.89,0.49,17.71
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2024,688,13.0,1.54,0.77,0.42,15.73
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2025,688,12.7,1.59,0.79,0.44,15.52
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2026,688,11.47,1.46,0.73,0.4,14.06
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2019,1868,68.0,6.67,3.34,1.83,79.84
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2020,1868,53.07,5.37,2.68,1.48,62.6
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2021,1868,38.97,5.99,3.0,1.65,49.61
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2022,1868,35.25,5.39,2.7,1.48,44.82
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2023,1859,31.73,4.8,2.4,1.32,40.25
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2024,1859,28.33,4.15,2.08,1.14,35.7
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2025,1859,27.69,4.29,2.15,1.18,35.31
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,2026,1859,25.0,3.96,1.98,1.09,32.03
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2019,540,33.07,1.93,0.96,0.53,36.49
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2020,540,25.81,1.55,0.78,0.43,28.57
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2021,540,18.95,1.73,0.87,0.48,22.03
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2022,540,17.14,1.56,0.78,0.43,19.91
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2023,530,15.43,1.37,0.68,0.38,17.86
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2024,530,13.78,1.18,0.59,0.33,15.88
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2025,530,13.46,1.22,0.61,0.34,15.63
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",2026,530,12.16,1.13,0.56,0.31,14.16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2019,1053,51.63,3.76,1.88,1.03,58.3
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2020,1053,40.29,3.02,1.51,0.83,45.65
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2021,1053,29.59,3.38,1.69,0.93,35.59
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2022,1053,26.76,3.04,1.52,0.84,32.16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2023,1052,24.09,2.72,1.36,0.75,28.92
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2024,1052,21.51,2.35,1.18,0.65,25.69
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2025,1052,21.02,2.43,1.22,0.67,25.34
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,2026,1052,18.98,2.24,1.12,0.62,22.96
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2019,1668,65.07,5.96,2.98,1.64,75.65
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2020,1668,50.78,4.79,2.4,1.32,59.29
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2021,1668,37.29,5.35,2.67,1.47,46.78
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2022,1668,33.73,4.82,2.41,1.32,42.28
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2023,1658,30.36,4.28,2.14,1.18,37.96
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2024,1658,27.11,3.7,1.85,1.02,33.68
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2025,1658,26.49,3.83,1.92,1.05,33.29
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,2026,1658,23.92,3.53,1.76,0.97,30.18
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2019,1128,48.24,4.03,2.01,1.11,55.39
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2020,1128,37.65,3.24,1.62,0.89,43.4
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2021,1128,27.65,3.62,1.81,0.99,34.07
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2022,1128,25.01,3.26,1.63,0.9,30.8
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2023,1090,22.51,2.82,1.41,0.77,27.51
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2024,1090,20.1,2.44,1.22,0.67,24.43
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2025,1090,19.64,2.52,1.26,0.69,24.11
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,2026,1090,17.73,2.32,1.16,0.64,21.85
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2019,349,18.18,1.25,0.62,0.34,20.39
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2020,349,14.19,1.0,0.5,0.28,15.97
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2021,349,10.42,1.12,0.56,0.31,12.41
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2022,349,9.43,1.01,0.5,0.28,11.22
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2023,343,8.48,0.89,0.44,0.24,10.05
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2024,343,7.57,0.77,0.38,0.21,8.93
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2025,343,7.4,0.79,0.4,0.22,8.81
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,2026,343,6.68,0.73,0.36,0.2,7.97
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2019,798,38.8,2.85,1.43,0.78,43.86
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2020,798,30.28,2.29,1.15,0.63,34.35
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2021,798,22.23,2.56,1.28,0.7,26.77
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2022,798,20.11,2.3,1.15,0.63,24.19
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2023,766,18.1,1.98,0.99,0.54,21.61
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2024,766,16.16,1.71,0.86,0.47,19.2
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2025,766,15.8,1.77,0.88,0.49,18.94
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,2026,766,14.26,1.63,0.81,0.45,17.15
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2019,849,39.68,3.03,1.52,0.83,45.06
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2020,849,30.96,2.44,1.22,0.67,35.29
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2021,849,22.74,2.72,1.36,0.75,27.57
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2022,849,20.57,2.45,1.23,0.67,24.92
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2023,846,18.51,2.19,1.09,0.6,22.39
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2024,846,16.53,1.89,0.95,0.52,19.89
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2025,846,16.15,1.95,0.98,0.54,19.62
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,2026,846,14.58,1.8,0.9,0.5,17.78
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2019,857,37.94,3.06,1.53,0.84,43.37
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2020,857,29.6,2.46,1.23,0.68,33.97
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2021,857,21.74,2.75,1.37,0.76,26.62
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2022,857,19.66,2.47,1.24,0.68,24.05
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2023,827,17.7,2.14,1.07,0.59,21.5
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2024,827,15.8,1.85,0.92,0.51,19.08
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2025,827,15.45,1.91,0.96,0.53,18.85
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,2026,827,13.94,1.76,0.88,0.48,17.06
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2019,1047,44.1,3.74,1.87,1.03,50.74
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2020,1047,34.42,3.01,1.5,0.83,39.76
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2021,1047,25.27,3.36,1.68,0.92,31.23
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2022,1047,22.86,3.02,1.51,0.83,28.22
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2023,1035,20.58,2.67,1.34,0.74,25.33
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2024,1035,18.37,2.31,1.16,0.64,22.48
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2025,1035,17.96,2.39,1.2,0.66,22.21
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,2026,1035,16.21,2.2,1.1,0.61,20.12
