program_studi,rumpun,bidang,kata_kunci_pemicu,n_profesi,n_program,sumber
MANAJEMEN KEUANGAN DAN BANK,Keuangan,NON-TEKNIK,MANAJEMEN KEUANGAN,0,0,rbb
MANAJEMEN KEUANGAN DAN INVESTASI,Keuangan,NON-TEKNIK,MANAJEMEN KEUANGAN,0,0,rbb
MANAJEMEN KEUANGAN ISLAM,Keuangan,NON-TEKNIK,MANAJEMEN KEUANGAN,0,0,rbb
MANAJEMEN KEUANGAN SYARIAH,Keuangan,NON-TEKNIK,MANAJEMEN KEUANGAN,0,0,rbb
MANAJEMEN KEWIRAUSAHAAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KOMUNIKASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KONSTRUKSI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KONVENSI DAN ACARA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KONVENSI DAN PERHELATAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KULINER,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN LALU LINTAS UDARA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN LEMBAGA KEUANGAN SYARIAH,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
MANAJEMEN LOGISTIK,Logistik dan Rantai Pasok,NON-TEKNIK,LOGISTIK,0,0,rbb
MANAJEMEN LOGISTIK INDUSTRI AGRO,Logistik dan Rantai Pasok,NON-TEKNIK,LOGISTIK,0,0,rbb
MANAJEMEN LOGISTIK INDUSTRI ELEKTRONIKA,Elektro dan Ketenagalistrikan,TEKNIK,ELEKTRONIKA,0,0,rbb
MANAJEMEN MATERIAL,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN MICE,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN OBAT DAN FARMASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN OPERASI DAN PRODUKSI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN OPERASIONAL,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PAJAK,Akuntansi dan Perpajakan,NON-TEKNIK,PAJAK,0,0,rbb
MANAJEMEN PARIWISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PATISERI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PELABUHAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PELAYANAN RUMAH SAKIT,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,MANAJEMEN PEMASARAN,11,14,profesi|programs|rbb
MANAJEMEN PEMASARAN INDUSTRI ELEKTRONIKA,Elektro dan Ketenagalistrikan,TEKNIK,ELEKTRONIKA,0,0,rbb
MANAJEMEN PEMASARAN PARIWISATA,Pemasaran dan Niaga,NON-TEKNIK,MANAJEMEN PEMASARAN,0,0,rbb
MANAJEMEN PEMBANGUNAN DAERAH,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PEMERINTAHAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENDIDIKAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENDIDIKAN ISIAM,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENDIDIKAN ISLAM,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENDIDIKAN ISLAM BIMBINGAN DAN KONSELING ISLAM,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENDIDIKAN KRISTEN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENERBANGAN,Mesin dan Konversi Energi,TEKNIK,PENERBANGAN,0,0,rbb
MANAJEMEN PENGATURAN PERJALANAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENGELOLAAN PERHOTELAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PENGELOLAAN SUMBERDAYA PERAIRAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PERBANKAN,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
MANAJEMEN PERBANKAN DAN KEUANGAN SYARIAH,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
MANAJEMEN PERBANKAN SYARIAH,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
MANAJEMEN PERDAGANGAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PERENCANAAN DAN PEMASARAN PARIWISATA,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
MANAJEMEN PERHOTELAN DAN PARIWISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PERJALANAN WISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PERKANTORAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PERPAJAKAN,Akuntansi dan Perpajakan,NON-TEKNIK,PERPAJAKAN,0,0,rbb
MANAJEMEN PERTANIAN LAHAN KERING,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PERUSAHAAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PRODUKSI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PRODUKSI MEDIA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PRODUKSI SIARAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PRODUKSI SIARAN RADIO DAN TELEVISI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN PROYEK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,3,programs|rbb
MANAJEMEN REKAYASA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN REKAYASA INDUSTRI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN REKAYASA PERIKANAN TANGKAP,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN REKOD DAN ARSIP,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN RESIKO,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN RESORT DAN LEISURE,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN RISIKO,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,2,programs|rbb
MANAJEMEN RUMAH SAKIT,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SEKTOR PUBLIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SISTEM INFORMASI,Informatika dan Data,TEKNIK,SISTEM INFORMASI,0,0,rbb
MANAJEMEN STRATEGIK DAN PERENCANAAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN STRATEJIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA AIR,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA AKUATIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA LAHAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA MANUSIA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA MANUSIA APARATUR,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA PERAIRAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN SUMBER DAYA PERIKANAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TATA BOGA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TATA HIDANGAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TEKNIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TEKNIK INDUSTRI,Industri dan Rekayasa,TEKNIK,TEKNIK INDUSTRI,0,0,rbb
MANAJEMEN TEKNIK STUDIO PRODUKSI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TEKNOLOGI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TEKNOLOGI INFORMASI,Informatika dan Data,TEKNIK,TEKNOLOGI INFORMASI,0,0,rbb
MANAJEMEN TEKNOLOGI PERIKANAN TANGKAP,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TENAGA EKONOMI,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
MANAJEMEN TRANSPOR UDARA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TRANSPORT LAUT,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TRANSPORTASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TRANSPORTASI DAN LOGISTIK,Logistik dan Rantai Pasok,NON-TEKNIK,LOGISTIK,0,0,rbb
MANAJEMEN TRANSPORTASI DARAT,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TRANSPORTASI LAUT,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN TRANSPORTASI LOGISTIK,Logistik dan Rantai Pasok,NON-TEKNIK,LOGISTIK,0,0,rbb
MANAJEMEN TRANSPORTASI LOGISTIK MATERIAL,Logistik dan Rantai Pasok,NON-TEKNIK,LOGISTIK,0,0,rbb
MANAJEMEN TRANSPORTASI PERKERETAAPIAN,Mesin dan Konversi Energi,TEKNIK,PERKERETAAPIAN,0,0,rbb
MANAJEMEN TRANSPORTASI UDARA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN UMUM,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN USAHA PERJALANAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN USAHA PERJALANAN WISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN USAHA PETERNAKAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN ZAKAT WAKAF,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MATEMATIKA,Informatika dan Data,TEKNIK,MATEMATIKA,0,1,programs
PAJAK DAN PABEAN,Akuntansi dan Perpajakan,NON-TEKNIK,PAJAK,0,0,rbb
PASAR DAN PRILAKU KONSUMEN,Pemasaran dan Niaga,NON-TEKNIK,PRILAKU KONSUMEN,0,0,rbb
PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
PEMASARAN DALAM NEGERI,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
PEMASARAN DAN NIAGA,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
PEMASARAN INTERNASIONAL,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
PENERBANGAN/AERONOTIKA DAN ASTRONOTIKA,Mesin dan Konversi Energi,TEKNIK,AERONOTIKA,0,0,rbb
PENGENDALIAN MANAGEMENT,Manajemen dan Bisnis,NON-TEKNIK,MANAGEMENT,0,0,rbb
PENGINDERAAN JAUH,Sipil dan Geodesi,TEKNIK,PENGINDERAAN JAUH,0,0,rbb
PERBANKAN,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
PERBANKAN SYARIAH,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
PERBANKAN SYARIAH KEBIJAKAN MAKRO ISLAM,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
PERENCANAAN DAN KEBIJAKAN PUBLIK,Hukum,NON-TEKNIK,KEBIJAKAN PUBLIK,0,0,rbb
PERENCANAAN WILAYAH DAN KOTA,Sipil dan Geodesi,TEKNIK,PERENCANAAN WILAYAH,0,0,rbb
PERMEREKAN,Pemasaran dan Niaga,NON-TEKNIK,PERMEREKAN,0,0,rbb
PERPAJAKAN/PAJAK,Akuntansi dan Perpajakan,NON-TEKNIK,PERPAJAKAN,0,0,rbb
PERUBAHAN DAN PENGEMBANGAN ORGANISASI,Psikologi dan SDM,NON-TEKNIK,ORGANISASI,0,0,rbb
PLANOLOGI,Sipil dan Geodesi,TEKNIK,PLANOLOGI,0,0,rbb
PROGRAM STUDI LAINNYA NON TEKNIK,Lainnya Non-Teknik,NON-TEKNIK,PROGRAM STUDI LAINNYA NON TEKNIK,25,7,profesi|programs
PROGRAM STUDI LAINNYA TEKNIK,Lainnya Teknik,TEKNIK,PROGRAM STUDI LAINNYA TEKNIK,25,7,profesi|programs
PSIKOLOGI,Psikologi dan SDM,NON-TEKNIK,PSIKOLOGI,8,8,profesi|programs
PUBLIC POLICY,Hukum,NON-TEKNIK,PUBLIC POLICY,1,1,profesi|programs
RANCANG KOTA,Sipil dan Geodesi,TEKNIK,RANCANG KOTA,0,0,rbb
REKAYASA PERANGKAT LUNAK,Informatika dan Data,TEKNIK,PERANGKAT LUNAK,0,0,rbb
SAFETY ENGINEERING,K3,TEKNIK,SAFETY ENGINEERING,1,1,profesi|programs
SEKRETARIS,Administrasi,NON-TEKNIK,SEKRETARIS,0,0,rbb
SISTEM INFORMASI,Informatika dan Data,TEKNIK,SISTEM INFORMASI,0,0,rbb
STRATEGIC MANAGEMENT,Manajemen dan Bisnis,NON-TEKNIK,MANAGEMENT,0,0,rbb
SUPPLY CHAIN MANAGEMENT,Logistik dan Rantai Pasok,NON-TEKNIK,SUPPLY CHAIN,1,5,profesi|programs
TAXATION,Akuntansi dan Perpajakan,NON-TEKNIK,TAXATION,0,0,rbb
TEKNIK AERONAUTICA,Mesin dan Konversi Energi,TEKNIK,AERONAUTI,0,0,rbb
TEKNIK AERONAUTIKA,Mesin dan Konversi Energi,TEKNIK,AERONAUTI,0,0,rbb
TEKNIK ARSITEKTUR,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK ARSITEKTUR DAN PERENCANAAN,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK ARSITEKTUR LANSEKAP,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK ARSITEKTUR PERANCANGAN KOTA,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK ARSITEKTUR REAL ESTATE,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK ARSITEKTUR TEKNOLOGI BANGUNAN,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK ARSITEKTUR TEORI DAN PERANCANAAN,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK ARSITEKTUR TEORI DAN SEJARAH,Sipil dan Geodesi,TEKNIK,ARSITEKTUR,0,0,rbb
TEKNIK BANDAR UDARA,Sipil dan Geodesi,TEKNIK,BANDAR UDARA,0,0,rbb
TEKNIK BIOENERGI,Mesin dan Konversi Energi,TEKNIK,BIOENERGI,0,3,programs
TEKNIK BIOMEDIK,Kimia dan Lingkungan,TEKNIK,BIOMEDI,0,0,rbb
TEKNIK BIOMEDIKA,Kimia dan Lingkungan,TEKNIK,BIOMEDI,0,0,rbb
TEKNIK BIOMEDIS,Kimia dan Lingkungan,TEKNIK,BIOMEDI,0,0,rbb
TEKNIK BIOPROSES,Kimia dan Lingkungan,TEKNIK,BIOPROSES,0,0,rbb
TEKNIK BIOSISTEM,Kimia dan Lingkungan,TEKNIK,BIOSISTEM,0,0,rbb
TEKNIK DIRGANTARA,Mesin dan Konversi Energi,TEKNIK,DIRGANTARA,0,0,rbb
TEKNIK ELEKTONIKA,Elektro dan Ketenagalistrikan,TEKNIK,ELEKTONIKA,0,0,rbb
TEKNIK ELEKTRO,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,58,23,profesi|programs|rbb
TEKNIK ELEKTRO APLIKASI MIKROPROSESOR,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO DAN INFORMATIKA,Informatika dan Data,TEKNIK,INFORMATIKA,0,0,rbb
TEKNIK ELEKTRO ELEKTRONIKS DIVAIS,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO INDUSTRI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO KOMUNIKASI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO MANAJEMEN TELEKOMUNIKASI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO MULTIMEDIA DAN JARINGAN,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO NAVIGASI DAN KOMUNIKASI PENERBANGAN,Mesin dan Konversi Energi,TEKNIK,PENERBANGAN,0,0,rbb
TEKNIK ELEKTRO OTOMASI,Elektro dan Ketenagalistrikan,TEKNIK,OTOMASI,0,0,rbb
TEKNIK ELEKTRO PERANCANGAN VLSI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO TEKNIK KONTROL INDUSTRI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO TELEKOMUNIKASI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRO TENAGA LISTRIK,Elektro dan Ketenagalistrikan,TEKNIK,TENAGA LISTRIK,0,0,rbb
TEKNIK ELEKTROMEDIS,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRONIKA,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRONIKA INDUSTRI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRONIKA PESAWAT UDARA,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELEKTRONIKA TELEKOMUNIKASI,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK ELEKTRO,0,0,rbb
TEKNIK ELETROMEDIK,Elektro dan Ketenagalistrikan,TEKNIK,ELETROMEDIK,0,0,rbb
TEKNIK ENERJI,Mesin dan Konversi Energi,TEKNIK,ENERJI,0,0,rbb
TEKNIK FISIKA,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK FISIKA,0,0,rbb
TEKNIK GEODESI,Sipil dan Geodesi,TEKNIK,TEKNIK GEODESI,1,1,profesi|programs
TEKNIK GEOLOGI,Sipil dan Geodesi,TEKNIK,TEKNIK GEOLOGI,0,1,programs
TEKNIK INDUSTRI,Industri dan Rekayasa,TEKNIK,TEKNIK INDUSTRI,32,22,profesi|programs|rbb
TEKNIK INDUSTRI AGRO,Industri dan Rekayasa,TEKNIK,TEKNIK INDUSTRI,0,0,rbb
TEKNIK INDUSTRI DAN MANAJEMEN,Industri dan Rekayasa,TEKNIK,TEKNIK INDUSTRI,0,0,rbb
TEKNIK INDUSTRI FARMASI,Industri dan Rekayasa,TEKNIK,TEKNIK INDUSTRI,0,0,rbb
TEKNIK INDUSTRI OTOMOTIF,Industri dan Rekayasa,TEKNIK,TEKNIK INDUSTRI,0,0,rbb
TEKNIK INDUSTRI PERTANIAN,Industri dan Rekayasa,TEKNIK,TEKNIK INDUSTRI,0,0,rbb
TEKNIK INFORMATIKA,Informatika dan Data,TEKNIK,TEKNIK INFORMATIKA,3,4,profesi|programs|rbb
TEKNIK INFORMATIKA DAN KOMPUTER,Informatika dan Data,TEKNIK,TEKNIK INFORMATIKA,0,0,rbb
TEKNIK INFORMATIKA KONSENTRASI REKAM MEDIS DAN INFORMASI KESEHATAN,Informatika dan Data,TEKNIK,TEKNIK INFORMATIKA,0,0,rbb
TEKNIK INFORMATIKA MULTIMEDIA,Informatika dan Data,TEKNIK,TEKNIK INFORMATIKA,0,0,rbb
TEKNIK INSTALASI PEMANFAATAN TENAGA LISTRIK,Elektro dan Ketenagalistrikan,TEKNIK,TENAGA LISTRIK,0,0,rbb
TEKNIK INSTALASI TENAGA LISTRIK,Elektro dan Ketenagalistrikan,TEKNIK,TENAGA LISTRIK,0,0,rbb
TEKNIK INSTRUMENTASI,Elektro dan Ketenagalistrikan,TEKNIK,INSTRUMENTASI,0,0,rbb
TEKNIK KEDIRGANTARAAN,Mesin dan Konversi Energi,TEKNIK,DIRGANTARA,0,0,rbb
TEKNIK KENDALI (ATAU INSTRUMENTASI DAN KONTROL),Elektro dan Ketenagalistrikan,TEKNIK,INSTRUMENTASI,0,0,rbb
TEKNIK KETENAGALISTRIKAN,Elektro dan Ketenagalistrikan,TEKNIK,KETENAGALISTRIKAN,0,0,rbb
TEKNIK KIMIA,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,3,3,profesi|programs|rbb
TEKNIK KIMIA INDUSTRI,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KIMIA KATALISIS INDUSTRI,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KIMIA MANAJEMEN GAS,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KIMIA PERANCANGAN PRODUK,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KIMIA PERLINDUNGAN LINGKUNGA,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KIMIA PERLINDUNGAN LINGKUNGAN,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KIMIA TEKNOLOGI GAS,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KIMIA TEKSTIL,Kimia dan Lingkungan,TEKNIK,TEKNIK KIMIA,0,0,rbb
TEKNIK KOMPUTER,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
TEKNIK KOMPUTER DAN INFORMATIKA,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
TEKNIK KOMPUTER DAN JARINGAN,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
TEKNIK KOMPUTER DAN KOMUNIKASI,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
TEKNIK KOMPUTER JARINGAN,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
TEKNIK KOMPUTER KONTROL,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
TEKNIK KOMPUTER MULTIMEDIA,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
TEKNIK KOMUNIKASI DAN NAVIGASI UDARA,Komunikasi dan Humas,NON-TEKNIK,KOMUNIKASI,0,0,rbb
TEKNIK LINGKUNGAN,Kimia dan Lingkungan,TEKNIK,TEKNIK LINGKUNGAN,2,2,profesi|programs|rbb
TEKNIK LISTRIK,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK LISTRIK,2,1,profesi|programs|rbb
TEKNIK LISTRIK ARUS KUAT,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK LISTRIK,0,0,rbb
TEKNIK LISTRIK ARUS LEMAH,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK LISTRIK,0,0,rbb
TEKNIK LISTRIK BANDAR UDARA,Sipil dan Geodesi,TEKNIK,BANDAR UDARA,0,0,rbb
TEKNIK LISTRIK BANDARA,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK LISTRIK,0,0,rbb
TEKNIK LISTRIK DAN ELEKTRONIK,Elektro dan Ketenagalistrikan,TEKNIK,TEKNIK LISTRIK,0,0,rbb
TEKNIK MANUFAKTUR,Industri dan Rekayasa,TEKNIK,MANUFAKTUR,0,0,rbb
TEKNIK MATERIAL,Industri dan Rekayasa,TEKNIK,TEKNIK MATERIAL,1,1,profesi|programs|rbb
TEKNIK MATERIAL (ILMU BAHAN),Industri dan Rekayasa,TEKNIK,TEKNIK MATERIAL,0,0,rbb
TEKNIK MEKANIK,Mesin dan Konversi Energi,TEKNIK,MEKANIK,0,0,rbb
TEKNIK MEKANIK INDUSTRI,Mesin dan Konversi Energi,TEKNIK,MEKANIK,0,0,rbb
TEKNIK MEKANIKA,Mesin dan Konversi Energi,TEKNIK,MEKANIKA,0,0,rbb
TEKNIK MEKANIKAL BANDARA,Mesin dan Konversi Energi,TEKNIK,MEKANIKAL,0,0,rbb
TEKNIK MEKANISASI PERTANIAN,Mesin dan Konversi Energi,TEKNIK,MEKANISASI,0,0,rbb
TEKNIK MEKATRONIKA,Elektro dan Ketenagalistrikan,TEKNIK,MEKATRONIKA,0,0,rbb
TEKNIK MESIN,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,35,22,profesi|programs|rbb
TEKNIK MESIN AERONUTIKA,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MESIN ALAT BERAT,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MESIN DAN BIOSISTEM,Mesin dan Konversi Energi,TEKNIK,TEKNIK MESIN,0,0,rbb
TEKNIK MESIN DAN DIRGANTARA,Mesin dan Konversi Energi,TEKNIK,DIRGANTARA,0,0,rbb
