kode_unit_pelaksana,unit_induk,nama_pendek,nama_lengkap,jenis_unit,jumlah_pegawai
6714,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UP3 Pringsewu,UNIT PELAKSANA PELAYANAN PELANGGAN PRINGSEWU,UP3,92
6711,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UP3 Tanjung Karang,UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG KARANG,UP3,121
6401,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI RIAU,UPP,146
6456,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UP2D Riau,UNIT PELAKSANA PENGATUR DISTRIBUSI RIAU,UP2D,50
6415,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UP3 Bangkinang,UNIT PELAKSANA PELAYANAN PELANGGAN BANGKINANG,UP3,86
6412,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UP3 Dumai,UNIT PELAKSANA PELAYANAN PELANGGAN DUMAI,UP3,128
6411,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UP3 Pekanbaru,UNIT PELAKSANA PELAYANAN PELANGGAN PEKANBARU,UP3,146
6414,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UP3 Rengat,UNIT PELAKSANA PELAYANAN PELANGGAN RENGAT,UP3,86
6413,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UP3 Tanjung Pinang,UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG PINANG,UP3,140
7401,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI SULAWESI BARAT,UPP,179
7424,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP2D Sulselrabar,"UNIT PELAKSANA PENGATUR DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP2D,73
7418,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Baubau,UNIT PELAKSANA PELAYANAN PELANGGAN BAUBAU,UP3,90
7417,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Bulukumba,UNIT PELAKSANA PELAYANAN PELANGGAN BULUKUMBA,UP3,109
7414,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Kendari,UNIT PELAKSANA PELAYANAN PELANGGAN KENDARI,UP3,135
7428,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Makassar Selatan,UNIT PELAKSANA PELAYANAN PELANGGAN MAKASSAR SELATAN,UP3,154
7427,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Makassar Utara,UNIT PELAKSANA PELAYANAN PELANGGAN MAKASSAR UTARA,UP3,122
7419,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Mamuju,UNIT PELAKSANA PELAYANAN PELANGGAN MAMUJU,UP3,102
7416,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Palopo,UNIT PELAKSANA PELAYANAN PELANGGAN PALOPO,UP3,113
7412,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Parepare,UNIT PELAKSANA PELAYANAN PELANGGAN PAREPARE,UP3,116
7415,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Pinrang,UNIT PELAKSANA PELAYANAN PELANGGAN PINRANG,UP3,84
7413,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UP3 Watampone,UNIT PELAKSANA PELAYANAN PELANGGAN WATAMPONE,UP3,99
7301,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI SULAWESI UTARA,UPP,157
7356,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP2D Sulutenggo,"UNIT PELAKSANA PENGATUR DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH, DAN GORONTALO",UP2D,64
7313,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP3 Gorontalo,UNIT PELAKSANA PELAYANAN PELANGGAN GORONTALO,UP3,98
7314,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP3 Kotamobagu,UNIT PELAKSANA PELAYANAN PELANGGAN KOTAMOBAGU,UP3,93
7316,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP3 Luwuk,UNIT PELAKSANA PELAYANAN PELANGGAN LUWUK,UP3,79
7311,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP3 Manado,UNIT PELAKSANA PELAYANAN PELANGGAN MANADO,UP3,170
7312,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP3 Palu,UNIT PELAKSANA PELAYANAN PELANGGAN PALU,UP3,138
7315,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP3 Tahuna,UNIT PELAKSANA PELAYANAN PELANGGAN TAHUNA,UP3,112
7317,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UP3 Tolitoli,UNIT PELAKSANA PELAYANAN PELANGGAN TOLI-TOLI,UP3,77
6301,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,UID Sumbar,KANTOR INDUK,142
6356,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UP2D Sumbar,UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA BARAT,UP2D,38
6311,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UP3 Bukittinggi,UNIT PELAKSANA PELAYANAN PELANGGAN BUKITTINGGI,UP3,143
6312,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UP3 Padang,UNIT PELAKSANA PELAYANAN PELANGGAN PADANG,UP3,217
6314,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UP3 Payakumbuh,UNIT PELAKSANA PELAYANAN PELANGGAN PAYAKUMBUH,UP3,85
6313,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UP3 Solok,UNIT PELAKSANA PELAYANAN PELANGGAN SOLOK,UP3,134
6501,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI JAMBI,UPP,189
6556,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP2D S2JB,"UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP2D,50
6512,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP3 Bengkulu,UNIT PELAKSANA PELAYANAN PELANGGAN BENGKULU,UP3,116
6513,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP3 Jambi,UNIT PELAKSANA PELAYANAN PELANGGAN JAMBI,UP3,100
6511,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP3 Lahat,UNIT PELAKSANA PELAYANAN PELANGGAN LAHAT,UP3,101
6517,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP3 Lubuk Linggau,UNIT PELAKSANA PELAYANAN PELANGGAN LUBUK LINGGAU,UP3,71
6515,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP3 Muara Bungo,UNIT PELAKSANA PELAYANAN PELANGGAN MUARA BUNGO,UP3,87
6516,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP3 Ogan Ilir,UNIT PELAKSANA PELAYANAN PELANGGAN OGAN ILIR,UP3,94
6514,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UP3 Palembang,UNIT PELAKSANA PELAYANAN PELANGGAN PALEMBANG,UP3,161
6201,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI SUMATERA UTARA,UPP,182
6256,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP2D Sumut,UNIT PELAKSANA PENGATUR DISTRIBUSI SUMATERA UTARA,UP2D,46
6213,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Binjai,UNIT PELAKSANA PELAYANAN PELANGGAN BINJAI,UP3,133
6220,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Bukit Barisan,UNIT PELAKSANA PELAYANAN PELANGGAN BUKIT BARISAN,UP3,90
6217,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Lubuk Pakam,UNIT PELAKSANA PELAYANAN PELANGGAN LUBUK PAKAM,UP3,117
6214,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Medan,UNIT PELAKSANA PELAYANAN PELANGGAN MEDAN,UP3,131
6219,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Medan Utara,UNIT PELAKSANA PELAYANAN PELANGGAN MEDAN UTARA,UP3,118
6218,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Nias,UNIT PELAKSANA PELAYANAN PELANGGAN NIAS,UP3,47
6215,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Padangsidimpuan,UNIT PELAKSANA PELAYANAN PELANGGAN PADANG SIDIMPUAN,UP3,76
6211,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Pematang Siantar,UNIT PELAKSANA PELAYANAN PELANGGAN PEMATANG SIANTAR,UP3,139
6216,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Rantau Prapat,UNIT PELAKSANA PELAYANAN PELANGGAN RANTAU PRAPAT,UP3,107
6212,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UP3 Sibolga,UNIT PELAKSANA PELAYANAN PELANGGAN SIBOLGA,UP3,87
5213,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UP3 Yogyakarta,UNIT PELAKSANA PELAYANAN PELANGGAN SEDAYU,UP3,4
2201,PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK TJB,UIK TJB,KANTOR INDUK,75
4E01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,UIP JBB,KANTOR INDUK,154
4E19,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UPP Jawa Bagian Barat 1,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 1,UPP,25
4E12,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UPP Jawa Bagian Barat 2,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 2,UPP,26
4E13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UPP Jawa Bagian Barat 3,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 3,UPP,27
4E14,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UPP Jawa Bagian Barat 4,UNIT PELAKSANA PROYEK JAWA BAGIAN BARAT 4,UPP,23
4P01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP  JBT,UIP  JBT,KANTOR INDUK,137
4P11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UPP Jawa Bagian Tengah 1,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 1,UPP,31
4P15,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UPP Jawa Bagian Tengah 2,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 2,UPP,36
4P12,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UPP Jawa Bagian Tengah 3,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 3,UPP,33
4P13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UPP Jawa Bagian Tengah 4,UNIT PELAKSANA PROYEK JAWA BAGIAN TENGAH 4,UPP,32
4G01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,UIP JBTB,KANTOR INDUK,111
4G15,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UPP JBTB 1,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 1,UPP,25
4G12,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UPP JBTB 2,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 2,UPP,32
4G13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UPP JBTB 3,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 3,UPP,23
4G14,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UPP JBTB 4,UNIT PELAKSANA PROYEK JAWA BAGIAN TIMUR DAN BALI 4,UPP,19
4R01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalbagbar,UIP Kalbagbar,KANTOR INDUK,81
4R11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UPP Kalimantan Bagian Barat 1,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 1,UPP,21
4R14,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UPP Kalimantan Bagian Barat 2,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 2,UPP,20
4R15,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UPP Kalimantan Bagian Barat 3,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN BARAT 3,UPP,21
4J01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalbagtim,UIP Kalbagtim,KANTOR INDUK,96
4J13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UPP Kalimantan Bagian Timur 1,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 1,UPP,23
4J16,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UPP Kalimantan Bagian Timur 2,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 2,UPP,23
4J17,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UPP Kalimantan Bagian Timur 3,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 3,UPP,23
4J18,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UPP Kalimantan Bagian Timur 4,UNIT PELAKSANA PROYEK KALIMANTAN BAGIAN TIMUR 4,UPP,20
4N01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,UIP Maluku dan Papua,KANTOR INDUK,70
4N15,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UPP Maluku dan Papua 1,UNIT PELAKSANA PROYEK MALUKU DAN PAPUA 1,UPP,27
4N16,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UPP Maluku dan Papua 2,UNIT PELAKSANA PROYEK MALUKU DAN PAPUA 2,UPP,19
4N11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UPP Maluku dan Papua 3,UNIT PELAKSANA PROYEK MALUKU DAN PAPUA 3,UPP,19
4N13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UPP Maluku dan Papua 4,UNIT PELAKSANA PROYEK MALUKU DAN PAPUA 4,UPP,16
4K01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,UIP Nusa Tenggara,KANTOR INDUK,86
4K12,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UPP Nusa Tenggara 1,UNIT PELAKSANA PROYEK NUSA TENGGARA 1,UPP,24
4K13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UPP Nusa Tenggara 2,UNIT PELAKSANA PROYEK NUSA TENGGARA 2,UPP,18
4K11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UPP Nusa Tenggara 3,UNIT PELAKSANA PROYEK NUSA TENGGARA 3,UPP,25
4M01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,UIP Sulawesi,KANTOR INDUK,127
4M11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UPP Sulawesi Selatan,UNIT PELAKSANA PROYEK SULAWESI SELATAN,UPP,29
4M15,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UPP Sulawesi Tengah,UNIT PELAKSANA PROYEK SULAWESI TENGAH,UPP,29
4M13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UPP Sulawesi Tenggara,UNIT PELAKSANA PROYEK SULAWESI TENGGARA,UPP,26
4M14,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UPP Sulawesi Utara,UNIT PELAKSANA PROYEK SULAWESI UTARA,UPP,29
4C01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,UIP Sumbagsel,UIP Sumbagsel,KANTOR INDUK,117
4C12,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,UPP Sumatera Bagian Selatan 1,UNIT PELAKSANA PROYEK SUMATERA BAGIAN SELATAN 1,UPP,34
4C14,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,UPP Sumatera Bagian Selatan 2,UNIT PELAKSANA PROYEK SUMATERA BAGIAN SELATAN 2,UPP,27
4C11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,UPP Sumatera Bagian Selatan 3,UNIT PELAKSANA PROYEK SUMATERA BAGIAN SELATAN 3,UPP,32
4Q01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,UIP Sumbagteng,UIP Sumbagteng,KANTOR INDUK,110
4Q11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,UPP Sumatera Bagian Tengah 1,UNIT PELAKSANA PROYEK SUMATERA BAGIAN TENGAH 1,UPP,32
4Q12,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,UPP Sumatera Bagian Tengah 2,UNIT PELAKSANA PROYEK SUMATERA BAGIAN TENGAH 2,UPP,28
4Q13,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,UPP Sumatera Bagian Tengah 3,UNIT PELAKSANA PROYEK SUMATERA BAGIAN TENGAH 3,UPP,24
4B01,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,UIP Sumbagut,UIP Sumbagut,KANTOR INDUK,141
4B14,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,UPP Sumatera Bagian Utara 1,UNIT PELAKSANA PROYEK SUMATERA BAGIAN UTARA 1,UPP,32
4B16,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,UPP Sumatera Bagian Utara 2,UNIT PELAKSANA PROYEK SUMATERA BAGIAN UTARA 2,UPP,17
4B11,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,UPP Sumatera Bagian Utara 3,UNIT PELAKSANA PROYEK SUMATERA BAGIAN UTARA 3,UPP,28
4B17,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,UPP Sumatera Bagian Utara 4,UNIT PELAKSANA PROYEK SUMATERA BAGIAN UTARA 4,UPP,19
2401,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UIP3B Kalimantan,UIP3B Kalimantan,KANTOR INDUK,112
2426,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UP2B Kalbar,UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN BARAT,UP2B,40
2421,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UP2B Kalselteng,UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP2B,39
2427,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UP2B Kaltimra,UNIT PELAKSANA PENGATUR BEBAN KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP2B,37
2413,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UPT Balikpapan,UNIT PELAKSANA TRANSMISI BALIKPAPAN,UPT,98
2412,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UPT Banjarbaru,UNIT PELAKSANA TRANSMISI BANJARBARU,UPT,80
2425,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UPT Palangkaraya,UNIT PELAKSANA TRANSMISI PALANGKARAYA,UPT,66
2411,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,UPT Pontianak,UNIT PELAKSANA TRANSMISI PONTIANAK,UPT,105
2501,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,UIP3B Sulawesi,UIP3B Sulawesi,KANTOR INDUK,140
2517,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,UP2B Makassar,UNIT PELAKSANA PENGATUR BEBAN SISTEM MAKASSAR,UP2B,86
2521,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,UP2B Sistem Minahasa,UNIT PELAKSANA PENGATUR BEBAN SISTEM MINAHASA,UP2B,59
2523,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,UPT Kendari,UNIT PELAKSANA TRANSMISI KENDARI,UPT,65
2518,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,UPT Makassar,UNIT PELAKSANA TRANSMISI MAKASSAR,UPT,151
2520,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,UPT Manado,UNIT PELAKSANA TRANSMISI MANADO,UPT,109
2519,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,UPT Palu,UNIT PELAKSANA TRANSMISI PALU,UPT,97
3201,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UIP3B Sumatera,UIP3B Sumatera,KANTOR INDUK,193
3221,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UP2B Sumatera Bagian Selatan,UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN SELATAN,UP2B,55
3220,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UP2B Sumatera Bagian Tengah,UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN TENGAH,UP2B,46
3219,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UP2B Sumatera Bagian Utara,UNIT PELAKSANA PENGATUR BEBAN SUMATERA BAGIAN UTARA,UP2B,48
3216,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UPT Banda Aceh,UNIT PELAKSANA TRANSMISI BANDA ACEH,UPT,121
3224,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UPT Baturaja,UNIT PELAKSANA TRANSMISI BATURAJA,UPT,107
3218,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UPT Bengkulu,UNIT PELAKSANA TRANSMISI BENGKULU,UPT,92
3222,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,UPT Jambi,UNIT PELAKSANA TRANSMISI JAMBI,UPT,108
