penempatan_id,pendaftaran_id,kandidat_id,tahun_program,jenis_penempatan,status_sk,sub_bidang,bidang_pembidangan,updl_id,kode_grade,unit_induk,nama_posisi,perusahaan_subholding,sumber_penempatan
1778,REG0051352,40436,2025,INDUK,BELUM,Hukum dan Kepatuhan,SDM,8224,G2,,,,DIMODELKAN
1779,REG0051427,40489,2025,SUBHOLDING,BELUM,Transmisi dan Gardu Induk,Pembangkitan,8215,G2,,,NP,DIMODELKAN
1780,REG0051447,40507,2019,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8214,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,OFFICER LOGISTIK LAYANAN PELANGGAN,,TURUNAN
1781,REG0051483,40538,2024,SUBHOLDING,SUDAH,Audit dan Risiko,Distribusi,8214,G2,,,BTM,DIMODELKAN
1782,REG0051485,40538,2025,SUBHOLDING,BELUM,Hukum dan Kepatuhan,Pembangkitan,8224,G2,,,NP,DIMODELKAN
1783,REG0051523,40567,2023,INDUK,SUDAH,Distribusi,Distribusi,8224,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,TECHNICIAN PDKB,,TURUNAN
1784,REG0051531,40574,2025,INDUK,BELUM,Komunikasi dan Umum,SDM,8215,G2,,,,DIMODELKAN
1785,REG0051551,40593,2024,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8219,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
1786,REG0051555,40597,2020,INDUK,SUDAH,Distribusi,Distribusi,8212,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",TECHNICIAN PDKB,,TURUNAN
1787,REG0051593,40630,2024,INDUK,SUDAH,K3 dan Lingkungan,SDM,8220,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,"OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",,TURUNAN
1788,REG0051618,40652,2019,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8220,G1,PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,JUNIOR OFFICER PELAYANAN PELANGGAN,,TURUNAN
1789,REG0051654,40681,2025,INDUK,BELUM,Distribusi,Distribusi,8213,G3,,,,DIMODELKAN
1790,REG0051658,40683,2025,SUBHOLDING,BELUM,Niaga dan Pemasaran,Distribusi,8213,G2,,,ES,DIMODELKAN
1791,REG0051674,40694,2019,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8211,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",OFFICER PELAKSANA PENGADAAN,,TURUNAN
1792,REG0051703,40717,2025,SUBHOLDING,BELUM,Perencanaan Sistem,SDM,8216,G2,,,ND,DIMODELKAN
1793,REG0051711,40724,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8213,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,JUNIOR OFFICER PELAYANAN PELANGGAN,,TURUNAN
1794,REG0051797,40794,2019,SUBHOLDING,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Digital,8214,G3,,,ICON,DIMODELKAN
1795,REG0051810,40802,2025,INDUK,BELUM,Komunikasi dan Umum,SDM,8216,G1,,,,DIMODELKAN
1796,REG0051892,40867,2025,INDUK,BELUM,Perencanaan Sistem,Perencanaan Sistem,8211,G2,,,,DIMODELKAN
1797,REG0051900,40874,2025,INDUK,BELUM,Distribusi,Distribusi,8224,G2,,,,DIMODELKAN
1798,REG0051920,40888,2025,SUBHOLDING,BELUM,Distribusi,Niaga,8213,G1,,,ND,DIMODELKAN
1799,REG0051970,40927,2019,SUBHOLDING,SUDAH,Perencanaan dan Kinerja,Manajemen Konstruksi dan Pengadaan,8224,G2,,,ND,DIMODELKAN
1800,REG0052012,40956,2023,SUBHOLDING,SUDAH,Perencanaan Sistem,Pembangkitan,8219,G2,,,NP,DIMODELKAN
1801,REG0052031,40970,2023,INDUK,SUDAH,Distribusi,Distribusi,8214,G2,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN,,TURUNAN
1802,REG0052061,40993,2025,SUBHOLDING,BELUM,Proteksi dan Kontrol,Pembangkitan,8224,G2,,,NP,DIMODELKAN
1803,REG0052062,40994,2025,SUBHOLDING,BELUM,Perencanaan dan Kinerja,Pembangkitan,8214,G2,,,IP,DIMODELKAN
1804,REG0052092,41020,2023,SUBHOLDING,SUDAH,Proteksi dan Kontrol,Pembangkitan,8212,G2,,,IP,DIMODELKAN
1805,REG0052224,41120,2019,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8224,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,,TURUNAN
1806,REG0052279,41163,2023,SUBHOLDING,SUDAH,Pembangkitan,Keuangan,8224,G2,,,NP,DIMODELKAN
1807,REG0052301,41179,2025,INDUK,BELUM,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8213,G2,,,,DIMODELKAN
1808,REG0052304,41182,2019,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8211,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,JUNIOR OFFICER PELAYANAN PELANGGAN,,TURUNAN
1809,REG0052377,41238,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8211,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
1810,REG0052404,41261,2023,SUBHOLDING,SUDAH,Distribusi,Distribusi,8220,G2,,,ES,DIMODELKAN
1811,REG0052424,41277,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8213,G2,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,OFFICER PELAKSANA PENGADAAN,,TURUNAN
1812,REG0052482,41322,2025,INDUK,BELUM,Niaga dan Pemasaran,Niaga,8213,G2,,,,DIMODELKAN
1813,REG0052483,41323,2024,INDUK,SUDAH,Hukum dan Kepatuhan,SDM,8224,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER HUKUM,,TURUNAN
1814,REG0052487,41325,2023,SUBHOLDING,SUDAH,Keuangan dan Akuntansi,Perencanaan Sistem,8224,G2,,,EPI,DIMODELKAN
1815,REG0052516,41348,2023,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8216,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER VERIFIKASI,,TURUNAN
1816,REG0052568,41389,2023,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8216,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,OFFICER KEUANGAN DAN ANGGARAN,,TURUNAN
1817,REG0052574,41394,2025,SUBHOLDING,BELUM,Distribusi,Niaga,8220,G1,,,ND,DIMODELKAN
1818,REG0052580,41399,2022,SUBHOLDING,SUDAH,Teknologi Informasi,SDM,8213,G2,,,ICON,DIMODELKAN
1819,REG0052602,41420,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8224,G2,,,ICON,DIMODELKAN
1820,REG0052648,41451,2023,SUBHOLDING,SUDAH,Transmisi dan Gardu Induk,Manajemen Digital,8211,G2,,,ICON,DIMODELKAN
1821,REG0052656,41456,2019,INDUK,SUDAH,Distribusi,Distribusi,8224,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,TECHNICIAN PENGELOLAAN KONSTRUKSI DISTRIBUSI,,TURUNAN
1822,REG0052727,41509,2025,INDUK,BELUM,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8212,G2,,,,DIMODELKAN
1823,REG0052753,41532,2023,SUBHOLDING,SUDAH,Transmisi dan Gardu Induk,SDM,8215,G2,,,ND,DIMODELKAN
1824,REG0052761,41537,2023,INDUK,SUDAH,Distribusi,Distribusi,8220,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,,TURUNAN
1825,REG0052780,41551,2019,INDUK,SUDAH,Sumber Daya Manusia,SDM,8211,G2,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),OFFICER PENGELOLAAN KEMITRAAN DAN RANTAI PASOK PEMBELAJARAN,,TURUNAN
1826,REG0052790,41557,2024,INDUK,SUDAH,Komunikasi dan Umum,SDM,8219,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,OFFICER PRIORITY ACCOUNT EXECUTIVE,,TURUNAN
1827,REG0052796,41561,2024,SUBHOLDING,SUDAH,Transmisi dan Gardu Induk,Niaga,8218,G2,,,ICON,DIMODELKAN
1828,REG0052809,41569,2022,INDUK,SUDAH,Sumber Daya Manusia,SDM,8213,G2,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),OFFICER KINERJA PELAKSANAAN PEMBELAJARAN,,TURUNAN
1829,REG0052827,41586,2023,INDUK,SUDAH,Distribusi,Distribusi,8216,G1,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,,TURUNAN
1830,REG0052829,41588,2019,INDUK,SUDAH,Distribusi,Distribusi,8214,G1,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,JUNIOR TECHNICIAN OPERASI DISTRIBUSI,,TURUNAN
1831,REG0052845,41600,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8224,G2,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,OFFICER PENGENDALIAN KONSTRUKSI,,TURUNAN
1832,REG0052847,41602,2025,INDUK,BELUM,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8219,G1,,,,DIMODELKAN
1833,REG0052855,41609,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8213,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",OFFICER PELAKSANA PENGADAAN,,TURUNAN
1834,REG0052859,41613,2024,INDUK,SUDAH,Distribusi,Distribusi,8219,G1,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,JUNIOR TECHNICIAN TEKNIK ELEKTRIKAL,,TURUNAN
1835,REG0052937,41669,2019,INDUK,SUDAH,Proteksi dan Kontrol,Proteksi dan Kontrol,8219,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TECHNICIAN PROTEKSI DAN METER,,TURUNAN
1836,REG0052942,41672,2025,INDUK,BELUM,Teknologi Informasi,SDM,8216,G1,,,,DIMODELKAN
1837,REG0052943,41673,2025,SUBHOLDING,BELUM,Pembangkitan,Transmisi dan Gardu Induk,8214,G1,,,ES,DIMODELKAN
1838,REG0052956,41684,2025,INDUK,BELUM,Pembangkitan,Pembangkitan,8218,G2,,,,DIMODELKAN
1839,REG0052973,41696,2025,INDUK,BELUM,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8214,G2,,,,DIMODELKAN
1840,REG0053022,41736,2023,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8224,G2,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,,TURUNAN
1841,REG0053037,41747,2023,SUBHOLDING,SUDAH,Distribusi,SDM,8212,G2,,,ES,DIMODELKAN
1842,REG0053054,41762,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8219,G2,,,ICON,DIMODELKAN
1843,REG0053057,41764,2020,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8213,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,TECHNICIAN PEMELIHARAAN GARDU INDUK,,TURUNAN
1844,REG0053063,41769,2025,INDUK,BELUM,Audit dan Risiko,Keuangan,8211,G1,,,,DIMODELKAN
1845,REG0053074,41777,2019,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8219,G1,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,,TURUNAN
1846,REG0053113,41806,2023,SUBHOLDING,SUDAH,Niaga dan Pemasaran,Pembangkitan,8213,G2,,,NP,DIMODELKAN
1847,REG0053131,41820,2023,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8217,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER KINERJA KEUANGAN DAN UMUM,,TURUNAN
1848,REG0053190,41865,2019,INDUK,SUDAH,Perencanaan dan Kinerja,SDM,8215,G3,PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,SENIOR OFFICER KINERJA,,TURUNAN
1849,REG0053381,42022,2022,INDUK,SUDAH,Perencanaan dan Kinerja,SDM,8212,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,OFFICER KINERJA,,TURUNAN
1850,REG0053432,42064,2024,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8219,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,OFFICER KINERJA KEUANGAN DAN UMUM,,TURUNAN
1851,REG0053440,42070,2023,SUBHOLDING,SUDAH,Distribusi,Keuangan,8215,G2,,,EPI,DIMODELKAN
1852,REG0053469,42097,2024,INDUK,SUDAH,Komunikasi dan Umum,SDM,8214,G3,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,,TURUNAN
1853,REG0053481,42106,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8213,G2,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,"OFFICER KEUANGAN, PERIZINAN, PERTANAHAN DAN UMUM",,TURUNAN
1854,REG0053486,42109,2025,SUBHOLDING,BELUM,Pembangkitan,Keuangan,8212,G2,,,ND,DIMODELKAN
1855,REG0053542,42152,2024,INDUK,SUDAH,Perencanaan dan Kinerja,SDM,8218,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,OFFICER KINERJA,,TURUNAN
1856,REG0053557,42166,2025,SUBHOLDING,BELUM,Distribusi,Manajemen Konstruksi dan Pengadaan,8211,G2,,,ND,DIMODELKAN
1857,REG0053571,42177,2020,INDUK,SUDAH,Distribusi,Distribusi,8213,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,OFFICER KINERJA JARINGAN DAN KONSTRUKSI DISTRIBUSI,,TURUNAN
1858,REG0053601,42205,2019,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8211,G3,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,SENIOR OFFICER KINERJA KONSTRUKSI DAN PENYALURAN,,TURUNAN
1859,REG0053604,42208,2023,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8213,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,,TURUNAN
1860,REG0053616,42218,2019,SUBHOLDING,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Digital,8219,G2,,,ICON,DIMODELKAN
1861,REG0053645,42243,2019,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8213,G2,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,OFFICER KINERJA KONSTRUKSI DAN PENYALURAN,,TURUNAN
1862,REG0053646,42244,2025,INDUK,BELUM,Proteksi dan Kontrol,Proteksi dan Kontrol,8213,G2,,,,DIMODELKAN
1863,REG0053656,42251,2019,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8211,G2,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,OFFICER PENGENDALIAN KONSTRUKSI,,TURUNAN
1864,REG0053682,42271,2022,INDUK,SUDAH,Distribusi,Distribusi,8219,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,TECHNICIAN PDKB,,TURUNAN
1865,REG0053719,42300,2024,INDUK,SUDAH,Distribusi,Distribusi,8214,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,OFFICER PERENCANAAN LISTRIK PERDESAAN,,TURUNAN
1866,REG0053749,42322,2024,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8214,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,,TURUNAN
1867,REG0053762,42332,2022,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8219,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,,TURUNAN
1868,REG0053779,42347,2019,INDUK,SUDAH,Komunikasi dan Umum,SDM,8213,G3,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,,TURUNAN
1869,REG0053826,42388,2025,INDUK,BELUM,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8213,G2,,,,DIMODELKAN
1870,REG0053863,42416,2024,SUBHOLDING,SUDAH,Niaga dan Pemasaran,Pembangkitan,8213,G2,,,BTM,DIMODELKAN
1871,REG0053864,42417,2023,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8211,G1,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,"JUNIOR TECHNICIAN PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI TRANSMISI DAN GARDU INDUK",,TURUNAN
1872,REG0053875,42426,2020,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8214,G2,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,TECHNICIAN PDKB GI/GITET,,TURUNAN
1873,REG0053906,42451,2022,INDUK,SUDAH,Komunikasi dan Umum,SDM,8218,G3,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,,TURUNAN
1874,REG0053924,42466,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8217,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
1875,REG0053993,42520,2025,SUBHOLDING,BELUM,Manajemen Konstruksi dan Pengadaan,SDM,8216,G2,,,IP,DIMODELKAN
1876,REG0053997,42522,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8213,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
1877,REG0054034,42551,2024,INDUK,SUDAH,Perencanaan dan Kinerja,SDM,8212,G2,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,OFFICER KINERJA DAN PERENCANAAN,,TURUNAN
1878,REG0054052,42566,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8214,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
1879,REG0054115,42616,2021,INDUK,SUDAH,Perencanaan dan Kinerja,SDM,8214,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA,,TURUNAN
1880,REG0054139,42636,2024,SUBHOLDING,SUDAH,Perencanaan dan Kinerja,Distribusi,8216,G1,,,BTM,DIMODELKAN
1881,REG0054147,42643,2023,INDUK,SUDAH,Distribusi,Distribusi,8216,G1,PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,,TURUNAN
1882,REG0054150,42646,2023,INDUK,SUDAH,Distribusi,Distribusi,8224,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,TECHNICIAN TEKNISI PDKB,,TURUNAN
1883,REG0054156,42651,2024,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8211,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,OFFICER LOGISTIK LAYANAN PELANGGAN,,TURUNAN
1884,REG0054182,42676,2025,INDUK,BELUM,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8218,G2,,,,DIMODELKAN
1885,REG0054194,42684,2024,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8214,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGENDALIAN KINERJA DAN ANGGARAN KONSTRUKSI,,TURUNAN
1886,REG0054253,42734,2019,INDUK,SUDAH,Hukum dan Kepatuhan,SDM,8218,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER HUKUM,,TURUNAN
1887,REG0054261,42741,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8214,G2,,,ICON,DIMODELKAN
1888,REG0054267,42746,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8224,G2,,,ICON,DIMODELKAN
1889,REG0054315,42779,2024,SUBHOLDING,SUDAH,Sumber Daya Manusia,Niaga,8217,G2,,,BTM,DIMODELKAN
1890,REG0054325,42787,2024,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8224,G1,PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,JUNIOR TECHNICIAN MANAJEMEN KONSTRUKSI LISTRIK,,TURUNAN
1891,REG0054360,42816,2023,INDUK,SUDAH,Distribusi,Distribusi,8214,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,JUNIOR TECHNICIAN PDKB,,TURUNAN
1892,REG0054395,42843,2023,SUBHOLDING,SUDAH,Teknologi Informasi,Keuangan,8219,G3,,,EPI,DIMODELKAN
1893,REG0054479,42906,2022,INDUK,SUDAH,Distribusi,Distribusi,8213,G1,PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,,TURUNAN
1894,REG0054495,42919,2024,SUBHOLDING,SUDAH,Teknologi Informasi,Distribusi,8214,G2,,,HLY,DIMODELKAN
1895,REG0054543,42960,2024,INDUK,SUDAH,Distribusi,Distribusi,8214,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,JUNIOR TECHNICIAN PDKB,,TURUNAN
1896,REG0054560,42975,2025,SUBHOLDING,BELUM,Sumber Daya Manusia,Perencanaan Sistem,8211,G2,,,IP,DIMODELKAN
1897,REG0054580,42993,2019,SUBHOLDING,SUDAH,Niaga dan Pemasaran,Transmisi dan Gardu Induk,8214,G1,,,ES,DIMODELKAN
1898,REG0054589,43000,2022,INDUK,SUDAH,Distribusi,Distribusi,8220,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,,TURUNAN
1899,REG0054676,43064,2022,INDUK,SUDAH,Proteksi dan Kontrol,Proteksi dan Kontrol,8219,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TECHNICIAN PROTEKSI DAN METER,,TURUNAN
1900,REG0054702,43084,2025,SUBHOLDING,BELUM,Pembangkitan,Pembangkitan,8218,G2,,,NP,DIMODELKAN
1901,REG0054703,43085,2023,INDUK,SUDAH,Distribusi,Distribusi,8218,G1,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,,TURUNAN
1902,REG0054714,43095,2024,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8215,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,JUNIOR OFFICER PELAYANAN PELANGGAN,,TURUNAN
1903,REG0054720,43098,2023,INDUK,SUDAH,Distribusi,Distribusi,8220,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,,TURUNAN
1904,REG0054735,43112,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8215,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
1905,REG0054743,43119,2025,SUBHOLDING,BELUM,Proteksi dan Kontrol,Pembangkitan,8216,G2,,,IP,DIMODELKAN
1906,REG0054763,43136,2025,SUBHOLDING,BELUM,Perencanaan Sistem,Niaga,8215,G2,,,ND,DIMODELKAN
1907,REG0054795,43159,2024,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8224,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
1908,REG0054836,43189,2023,SUBHOLDING,SUDAH,Pembangkitan,SDM,8215,G2,,,EPI,DIMODELKAN
1909,REG0054845,43197,2022,INDUK,SUDAH,Distribusi,Distribusi,8220,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,TECHNICIAN PEMELIHARAAN DISTRIBUSI,,TURUNAN
