no,tahun_program,holding_ap_sh,holding_subholding,unit_pelaksana,jabatan,jurusan_pendidikan,jumlah,pendidikan,keterangan,sub_bidang,level,usulan_sebelum_potong
724,2019,HOLDING,UID Lampung,,JUNIOR TECHNICIAN PENGATURAN OPERASI,D3 Teknik Kimia/Teknik Lingkungan,1,D3,Rekrut 2019,Perencanaan Sistem,1,1.424
725,2019,HOLDING,UID Lampung,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.424
726,2019,HOLDING,UID Bali,,JUNIOR TECHNICIAN PENGATURAN OPERASI,D3 Teknik Kimia/Teknik Lingkungan,1,D3,Rekrut 2019,Perencanaan Sistem,1,1.412
727,2019,HOLDING,UIW Maluku&Malut,,JUNIOR TECHNICIAN OPERASI DISTRIBUSI,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,1.411
728,2019,HOLDING,UIW Maluku&Malut,,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI DAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Transmisi dan Gardu Induk,1,1.411
729,2019,HOLDING,UIP JBB,,JUNIOR OFFICER LOGISTIK,D3 Logistik/Supply Chain Management,1,D3,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,1,1.375
730,2019,HOLDING,UID Jakarta Raya,,JUNIOR OFFICER ACCOUNT EXECUTIVE,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,1.372
731,2019,HOLDING,UID Jakarta Raya,,JUNIOR OFFICER ADMINISTRASI DAN PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,D3,Rekrut 2019,Niaga dan Pemasaran,1,1.372
732,2019,HOLDING,UID Jakarta Raya,,JUNIOR OFFICER PENGELOLAAN PIUTANG,D3 Teknik Industri/Teknik Material,1,D3,Rekrut 2019,Perencanaan dan Kinerja,1,1.372
733,2019,HOLDING,UIP Sumatera Bag Utara,,JUNIOR OFFICER PENGADAAN TANAH DAN PENGENDALIAN ROW,D3 Logistik/Supply Chain Management,1,D3,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,1,1.372
734,2019,HOLDING,UID Kaltimra,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,1.34
735,2019,HOLDING,Pusat Pengatur Beban,,JUNIOR TECHNICIAN DATA DISTURBANCE FAULT RECORDER (DFR) DAN PHASOR MEASUREMENT UNIT (PMU),D3 Data Science/Teknik Informatika,1,D3,Rekrut 2019,Teknologi Informasi,1,1.28
736,2019,HOLDING,Pusat Pengatur Beban,,JUNIOR TECHNICIAN OPERASI REAL TIME C,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.28
737,2019,HOLDING,UIK Tanjung Jati B,,JUNIOR OFFICER ADMINISTRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,1.246
738,2019,HOLDING,UIK Tanjung Jati B,,JUNIOR OFFICER KESELAMATAN DAN KESEHATAN KERJA,D3 Keselamatan Dan Kesehatan Kerja/Kesehatan Masyarakat K3,1,D3,Rekrut 2019,K3 dan Lingkungan,1,1.246
739,2019,HOLDING,UIP Kalimantan Bag Timur,,JUNIOR OFFICER PERIZINAN,D3 Komunikasi/Hubungan Masyarakat,1,D3,3T,Komunikasi dan Umum,1,1.245
740,2019,HOLDING,UID Sulselrabar,,JUNIOR TECHNICIAN PENGATURAN OPERASI,D3 Teknik Kimia/Teknik Lingkungan,1,D3,3T,Perencanaan Sistem,1,1.234
741,2019,HOLDING,PUSHARLIS,,JUNIOR OFFICER ADMINISTRASI UMUM,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,1.227
742,2019,HOLDING,UID Lampung,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.221
743,2019,HOLDING,UIP JBT,,JUNIOR OFFICER KEUANGAN,D3 Akuntansi/Administrasi Fiskal,1,D3,Rekrut 2019,Keuangan dan Akuntansi,1,1.219
744,2019,HOLDING,UIP JBT,,JUNIOR OFFICER PENGADAAN TANAH DAN PENGENDALIAN ROW,D3 Logistik/Supply Chain Management,1,D3,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,1,1.219
745,2019,HOLDING,UID Jakarta Raya,,"JUNIOR OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",D3 Keselamatan Dan Kesehatan Kerja/Kesehatan Masyarakat K3,1,D3,Rekrut 2019,K3 dan Lingkungan,1,1.2
746,2019,HOLDING,UID Jakarta Raya,,JUNIOR OFFICER LOGISTIK,D3 Logistik/Supply Chain Management,1,D3,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,1,1.2
747,2019,HOLDING,UID Jakarta Raya,,JUNIOR OFFICER PEMBACAAN METER,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.2
748,2019,HOLDING,UID Jakarta Raya,,JUNIOR TECHNICIAN PEMELIHARAAN DISTRIBUSI,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.2
749,2019,HOLDING,UID Sumbar,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.2
750,2019,HOLDING,UID Banten,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.19
751,2019,HOLDING,UIW Maluku&Malut,,JUNIOR OFFICER PELAKSANA PENGADAAN,D3 Logistik/Supply Chain Management,1,D3,3T,Manajemen Konstruksi dan Pengadaan,1,1.129
752,2019,HOLDING,UIT JBB,,JUNIOR TECHNICIAN PDKB GI/GITET,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,1.123
753,2019,HOLDING,UIW NusaTenggaraTimur,,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Transmisi dan Gardu Induk,1,1.118
754,2019,HOLDING,UIT JBT,,"JUNIOR TECHNICIAN PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI TRANSMISI DAN GARDU INDUK",D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,1.099
755,2019,HOLDING,UIP Sulawesi,,JUNIOR OFFICER PENGADAAN TANAH DAN PENGENDALIAN ROW,D3 Logistik/Supply Chain Management,1,D3,3T,Manajemen Konstruksi dan Pengadaan,1,1.095
756,2019,HOLDING,UIP Sulawesi,,JUNIOR TECHNICIAN PROYEK,D3 Logistik/Supply Chain Management,1,D3,3T,Manajemen Konstruksi dan Pengadaan,1,1.095
757,2019,HOLDING,UIP Sulawesi,,JUNIOR TECHNICIAN TEKNIK ELEKTRIKAL,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,1.095
758,2019,HOLDING,UIW Bangka Belitung,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.084
759,2019,HOLDING,UIT JBTB,,JUNIOR TECHNICIAN PDKB GI/GITET,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,1.07
760,2019,HOLDING,UIP3B Kalimantan,,"JUNIOR TECHNICIAN PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI",D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Proteksi dan Kontrol,1,1.069
761,2019,HOLDING,UID Bali,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,1.059
762,2019,HOLDING,UIW Papua&Papua Barat,,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI DAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Transmisi dan Gardu Induk,1,1.054
763,2019,HOLDING,UIP3B Sulawesi,,JUNIOR TECHNICIAN PDKB SUTT/SUTET,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Transmisi dan Gardu Induk,1,1.052
764,2019,HOLDING,UIP Sumatera Bag Tengah,,JUNIOR OFFICER ADMINISTRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,1.035
765,2019,HOLDING,UID Sumbar,,JUNIOR TECHNICIAN PENGATURAN OPERASI,D3 Teknik Kimia/Teknik Lingkungan,1,D3,Rekrut 2019,Perencanaan Sistem,1,1.029
766,2019,HOLDING,UIP Sumatera Bag Utara,,JUNIOR OFFICER ADMINISTRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,1.029
767,2019,HOLDING,UIT JBT,,JUNIOR OFFICER ADMINISTRASI UMUM,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,1.008
768,2019,HOLDING,UIP3B Sulawesi,,"JUNIOR TECHNICIAN PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI",D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Proteksi dan Kontrol,1,0.999
769,2019,HOLDING,UIP JBTB,,JUNIOR OFFICER LOGISTIK,D3 Logistik/Supply Chain Management,1,D3,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,1,0.988
770,2019,HOLDING,UID Kalbar,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.808
771,2019,HOLDING,UID Kaltimra,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.777
772,2019,HOLDING,UID Sumut,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,3.773
773,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER ADMINISTRASI MANAJEMEN DIGITAL,D3 Data Science/Teknik Informatika,1,D3,Rekrut 2019,Teknologi Informasi,1,3.702
774,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER ADMINISTRASI STRATEGI HUMAN CAPITAL,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
775,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER DANA PENSIUN DAN JAMINAN SOSIAL,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,3.702
776,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER HUBUNGAN PEMERINTAHAN,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,3.702
777,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL BALIKPAPAN,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
778,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL BANJARBARU,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
779,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL DEPOK,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
780,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL KANTOR PUSAT,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
781,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL KUPANG,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
782,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL MAKASSAR,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
783,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PADANG,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
784,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PALEMBANG,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
785,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PEKANBARU,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
786,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL PONTIANAK,D3 Psikologi/Kepegawaian,1,D3,Rekrut 2019,Sumber Daya Manusia,1,3.702
787,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PEMBAYARAN UNIT,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,3.702
788,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PENGELOLAAN KENDARAAN,D3 Teknik Industri/Teknik Material,1,D3,Rekrut 2019,Perencanaan dan Kinerja,1,3.702
789,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PENYETORAN PAJAK,D3 Akuntansi/Administrasi Fiskal,1,D3,Rekrut 2019,Keuangan dan Akuntansi,1,3.702
790,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PRIVATE OFFICE,D3 Komunikasi/Hubungan Masyarakat,1,D3,Rekrut 2019,Komunikasi dan Umum,1,3.702
791,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER VERIFIKASI ENERGI PRIMER,D3 Teknik Mesin/Konversi Energi,1,D3,Rekrut 2019,Pembangkitan,1,3.702
792,2019,HOLDING,UIW Maluku&Malut,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.669
793,2019,HOLDING,UID Kalselteng,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,D3,3T,Niaga dan Pemasaran,1,3.666
794,2019,HOLDING,UID Lampung,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,3.662
795,2019,HOLDING,UID Kaltimra,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.655
796,2019,HOLDING,UIW Papua&Papua Barat,,JUNIOR TECHNICIAN OPERASI PUSAT LISTRIK,D3 Teknik Mesin/Konversi Energi,1,D3,3T,Pembangkitan,1,3.643
797,2019,HOLDING,UIT JBB,,"JUNIOR TECHNICIAN PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI TRANSMISI DAN GARDU INDUK",D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,3.627
798,2019,HOLDING,UID Banten,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,3.57
799,2019,HOLDING,UID Bali,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,3.531
800,2019,HOLDING,UID Kalselteng,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.492
801,2019,HOLDING,UID Aceh,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.478
802,2019,HOLDING,UID Sulselrabar,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.444
803,2019,HOLDING,UID S2JB,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,D3,3T,Niaga dan Pemasaran,1,3.402
804,2019,HOLDING,UIT JBTB,,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,3.345
805,2019,HOLDING,UID Riau & Kepri,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,D3,Rekrut 2019,Niaga dan Pemasaran,1,3.343
806,2019,HOLDING,UID Sumbar,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,3.257
807,2019,HOLDING,P3B Sumatera,,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,3.198
808,2019,HOLDING,UID Kalselteng,,JUNIOR TECHNICIAN PENGATURAN OPERASI,D3 Teknik Kimia/Teknik Lingkungan,1,D3,3T,Perencanaan Sistem,1,3.142
809,2019,HOLDING,UID Riau & Kepri,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,3.127
810,2019,HOLDING,UIP Kalimantan Bag Timur,,JUNIOR OFFICER ADMINISTRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,1,D3,3T,Komunikasi dan Umum,1,3.113
811,2019,HOLDING,UID Sulselrabar,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,3.085
812,2019,HOLDING,UID Banten,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,D3,Rekrut 2019,Niaga dan Pemasaran,1,2.975
813,2019,HOLDING,UID Banten,,JUNIOR TECHNICIAN OPERASI DISTRIBUSI,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Distribusi,1,2.975
814,2019,HOLDING,UID Banten,,JUNIOR TECHNICIAN PENGATURAN OPERASI,D3 Teknik Kimia/Teknik Lingkungan,1,D3,Rekrut 2019,Perencanaan Sistem,1,2.975
815,2019,HOLDING,UIT JBTB,,JUNIOR TECHNICIAN PDKB SUTT/SUTET,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,2.944
816,2019,HOLDING,UIT JBB,,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,D3 Teknik Elektro/Teknik Listrik,1,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,2.936
817,2019,HOLDING,UIP Sumatera Bag Utara,,JUNIOR TECHNICIAN KONSTRUKSI,D3 Logistik/Supply Chain Management,1,D3,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,1,2.915
818,2019,HOLDING,UID S2JB,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,1,D3,3T,Distribusi,1,2.879
819,2019,HOLDING,Kantor Pusat,,SENIOR OFFICER VERIFIKASI,S2 Akuntansi/Administrasi Fiskal,1,S2,Rekrut 2019,Keuangan dan Akuntansi,3,0.874
820,2019,HOLDING,UID Jakarta Raya,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.702
821,2019,HOLDING,UID Jawa Timur,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.666
822,2019,HOLDING,PUSMANPRO,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.606
823,2019,HOLDING,UID Jawa Barat,,TEAM LEADER TEKNIK LAYANAN PELANGGAN,S2 Teknik Elektro/Teknik Listrik,1,S2,Rekrut 2019,Distribusi,3,0.575
824,2019,HOLDING,UID Jawa Barat,,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,S2 Teknik Elektro/Teknik Listrik,1,S2,Rekrut 2019,Distribusi,3,0.575
825,2019,HOLDING,UID Jawa Barat,,TEAM LEADER PELAYANAN PELANGGAN,S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,Rekrut 2019,Niaga dan Pemasaran,3,0.569
826,2019,HOLDING,UID Jawa Timur,,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN LAYANAN PELANGGAN",S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,Rekrut 2019,Niaga dan Pemasaran,3,0.561
827,2019,HOLDING,UID Jawa Timur,,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,S2 Teknik Elektro/Teknik Listrik,1,S2,Rekrut 2019,Distribusi,3,0.561
828,2019,HOLDING,UID Jawa Timur,,TEAM LEADER TEKNIK LAYANAN PELANGGAN,S2 Teknik Elektro/Teknik Listrik,1,S2,Rekrut 2019,Distribusi,3,0.556
829,2019,HOLDING,UID Jawa Timur,,TEAM LEADER PELAYANAN PELANGGAN,S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,Rekrut 2019,Niaga dan Pemasaran,3,0.551
830,2019,HOLDING,UID Jawa Barat,,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANANLAYANAN PELANGGAN",S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,Rekrut 2019,Niaga dan Pemasaran,3,0.55
831,2019,HOLDING,UIW Maluku&Malut,,TEAM LEADER PELAYANAN PELANGGAN,S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,3T,Niaga dan Pemasaran,3,0.543
832,2019,HOLDING,UIW Maluku&Malut,,TEAM LEADER TEKNIK LAYANAN PELANGGAN,S2 Teknik Elektro/Teknik Listrik,1,S2,3T,Distribusi,3,0.543
833,2019,HOLDING,UIW Maluku&Malut,,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,S2 Teknik Elektro/Teknik Listrik,1,S2,3T,Distribusi,3,0.543
834,2019,HOLDING,UIW Maluku&Malut,,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN LAYANAN PELANGGAN",S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,3T,Niaga dan Pemasaran,3,0.527
835,2019,HOLDING,UIT JBB,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.526
836,2019,HOLDING,UID Jawa Barat,,SENIOR OFFICER PERFORMANCE ASSISTANT to MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.438
837,2019,HOLDING,UID Jawa Tengah & DIY,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.422
838,2019,HOLDING,UIT JBTB,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.413
839,2019,HOLDING,UIT JBT,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.377
840,2019,HOLDING,P3B Sumatera,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.37
841,2019,HOLDING,UID Banten,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.347
842,2019,HOLDING,UID Jawa Barat,,TEAM LEADER SALES RETAIL,S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,Rekrut 2019,Niaga dan Pemasaran,3,0.332
843,2019,HOLDING,UIW Papua&Papua Barat,,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN",S2 Keselamatan Dan Kesehatan Kerja/Kesehatan Masyarakat K3,1,S2,3T,K3 dan Lingkungan,3,0.323
844,2019,HOLDING,UIW Maluku&Malut,,ASSISTANT MANAGER KEUANGAN DAN UMUM,S2 Akuntansi/Administrasi Fiskal,1,S2,3T,Keuangan dan Akuntansi,4,0.312
845,2019,HOLDING,UID Jawa Timur,,SENIOR OFFICER PERFORMANCE ASSISTANT to MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.31
846,2019,HOLDING,UID Jawa Timur,,SENIOR OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,Rekrut 2019,Niaga dan Pemasaran,3,0.305
847,2019,HOLDING,UIW Maluku&Malut,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,3T,Komunikasi dan Umum,3,0.288
848,2019,HOLDING,UIT JBT,,SENIOR OFFICER KINERJA DAN ADMINISTRASI TRANSMISI DAN GARDU INDUK,S2 Teknik Elektro/Teknik Listrik,1,S2,Rekrut 2019,Transmisi dan Gardu Induk,3,0.287
849,2019,HOLDING,UID Kalselteng,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,3T,Komunikasi dan Umum,3,0.284
850,2019,HOLDING,Pusat Pengatur Beban,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.28
851,2019,HOLDING,UID Jawa Timur,,TEAM LEADER SALES RETAIL,S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,Rekrut 2019,Niaga dan Pemasaran,3,0.275
852,2019,HOLDING,UID Jawa Tengah & DIY,,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,S2 Teknik Elektro/Teknik Listrik,1,S2,Rekrut 2019,Distribusi,3,0.272
853,2019,HOLDING,UID Jawa Barat,,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,S2 Komunikasi/Hubungan Masyarakat,1,S2,Rekrut 2019,Komunikasi dan Umum,3,0.269
854,2019,HOLDING,UID Kalselteng,,TEAM LEADER PELAYANAN PELANGGAN,S2 Manajemen Pemasaran/Digital Marketing Dan Analytics,1,S2,3T,Niaga dan Pemasaran,3,0.268
