nama_posisi,jenjang_utama,level_utama,jenjang_lain,jumlah_pegawai,jumlah_unit_induk
MANAGER ERP HELP CENTER AND RETIREMENT,MD,16,,1,1
MANAGER ERP HUMAN CAPITAL AND QUALITY CONTROL,MD,16,,1,1
MANAGER ERP LOGISTICS,MD,16,,1,1
MANAGER ERP SUPPLY CHAIN MANAGEMENT,MD,16,,1,1
MANAGER EVALUASI CUSTOMER JOURNEY,MD,16,,1,1
MANAGER EVALUASI PORTOFOLIO,MD,16,,1,1
MANAGER EVALUASI SUBSIDI,MD,16,,1,1
MANAGER EVALUASI TARIF,MD,16,,1,1
MANAGER FASILITAS OPERASI,MD,15,,3,3
MANAGER FASILITAS SARANA DAN PRASARANA KANTOR PUSAT,MD,16,,1,1
MANAGER FASILITAS TEKNOLOGI INFORMASI KANTOR PUSAT,MD,16,,1,1
MANAGER GEOSPASIAL,MD,16,,1,1
MANAGER HARMONISASI DAN MONITORING KEBIJAKAN 1,MD,16,,1,1
MANAGER HEALTH CARE PROVIDER,MD,16,,1,1
MANAGER HEALTH CARE SERVICES,MD,16,,1,1
MANAGER HUBUNGAN INVESTOR DAN GCG,MD,16,,1,1
MANAGER HUBUNGAN LEGISLATIF,MD,16,,1,1
MANAGER HUBUNGAN MEDIA,MD,16,,1,1
MANAGER HUBUNGAN NON PEMERINTAHAN,MD,16,,1,1
MANAGER HUBUNGAN PEMERINTAHAN,MD,16,,1,1
MANAGER HUKUM ACEH,MD,16,,1,1
MANAGER HUKUM BALI,MD,16,,1,1
MANAGER HUKUM BANTEN,MD,16,,1,1
MANAGER HUKUM KALIMANTAN BARAT,MD,16,,1,1
MANAGER HUKUM KALIMANTAN SELATAN,MD,16,,1,1
MANAGER HUKUM KALIMANTAN TIMUR,MD,16,,1,1
MANAGER HUKUM LAMPUNG,MD,16,,1,1
MANAGER HUKUM NTT,MD,16,,1,1
MANAGER HUKUM NUSA TENGGARA BARAT,MD,16,,1,1
MANAGER HUKUM PAPUA,MD,16,,1,1
MANAGER HUKUM SUMBAR,MD,16,,1,1
MANAGER HUMAN CAPITAL HELP CENTER,MD,16,,1,1
MANAGER IMBANGAN AUDIT EKSTERNAL 1,MD,16,,1,1
MANAGER IMBANGAN AUDIT EKSTERNAL 3,MD,16,,1,1
MANAGER IMBANGAN AUDIT EKSTERNAL 4,MD,16,,1,1
MANAGER IMBANGAN AUDIT EKSTERNAL 5,MD,16,,1,1
MANAGER IMPLEMENTASI ASSET MANAGEMENT,MD,16,,1,1
MANAGER IMPLEMENTASI ASSET MANAGEMENT KORPORAT,MD,16,,1,1
MANAGER IMPLEMENTASI MANAJEMEN ASET PEMBANGKITAN,MD,16,,1,1
MANAGER INFRASTRUKTUR MANAJEMEN KEPATUHAN DAN DATA PROTECTION,MD,16,,1,1
MANAGER INOVASI DAN PENGEMBANGAN PRODUK,MD,15,,1,1
MANAGER INSPEKSI DAN KOMISIONING SISTEM PEMBANGKIT,MD,15,,1,1
MANAGER INSPEKSI DISTRIBUSI,MD,15,,1,1
MANAGER INSPEKSI TRANSMISI DAN GARDU INDUK,MD,15,,1,1
MANAGER INSTITUSI KEUANGAN,MD,16,,1,1
MANAGER INTEGRASI INFRASTRUKTUR APLIKASI,MD,16,,1,1
MANAGER IPP DAN EXCESS POWER,MD,15,,7,7
MANAGER IT BUSINESS PARTNER DISTRIBUSI,MD,16,,1,1
MANAGER IT BUSINESS PARTNER NIAGA DAN PROYEK,MD,16,,1,1
MANAGER IT BUSINESS PARTNER PEMBANGKITAN DAN TRANSMISI,MD,16,,1,1
MANAGER IT BUSINESS PARTNER SUPPORT,MD,16,,1,1
MANAGER JAMINAN KUALITAS AUDIT,MD,16,,1,1
MANAGER JAMINAN KUALITAS MANAJEMEN RISIKO,MD,16,,1,1
MANAGER JETTY DAN COAL HANDLING FACILITY,MD,15,,1,1
MANAGER KAJIAN DAN INVESTIGASI TEKNIK DAN TEKNOLOGI SISTEM TRANSMISI DAN DISTRIBUSI,MD,15,,1,1
MANAGER KAJIAN DAN INVESTIGASI TEKNIK TEKNOLOGI SISTEM PEMBANGKITAN DAN ENERGI,MD,15,,1,1
MANAGER KALIBRASI,MD,15,,1,1
"MANAGER KEAMANAN JAWA, MADURA DAN BALI",MD,16,,1,1
"MANAGER KEAMANAN SULAWESI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
MANAGER KEAMANAN SUMATERA DAN KALIMANTAN,MD,16,,1,1
MANAGER KEBIJAKAN DAN SISTEM INFORMASI ASET PROPERTI,MD,16,,1,1
MANAGER KEBIJAKAN NIAGA,MD,16,,1,1
MANAGER KEBIJAKAN OPERASIONAL HUMAN CAPITAL,MD,16,,1,1
MANAGER KEBIJAKAN OPERASIONAL TEKNOLOGI INFORMASI,MD,16,,1,1
MANAGER KEBIJAKAN STRATEGIS HUMAN CAPITAL,MD,16,,1,1
MANAGER KELAYAKAN KOMERSIALISASI PRODUK NIAGA,MD,16,,1,1
MANAGER KESEKRETARIATAN DAN ADMINISTRASI DEWAN KOMISARIS,MD,16,,1,1
MANAGER KESEKRETARIATAN DAN ADMINISTRASI DIREKSI,MD,16,,1,1
MANAGER KESELAMATAN DAN KESEHATAN KERJA DISTRIBUSI,MD,16,,1,1
"MANAGER KESELAMATAN DAN KESEHATAN KERJA PEMBANGKIT, PROYEK DAN KANTORPUSAT",MD,16,,1,1
MANAGER KESELAMATAN DAN KESEHATAN KERJA TRANSMISI,MD,16,,1,1
"MANAGER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",MD,15,,11,11
"MANAGER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN",MD,15,,31,31
MANAGER KETAHANAN KEAMANAN,MD,16,,1,1
MANAGER KEUANGAN DAN AKUNTANSI,MD,15,,1,1
MANAGER KEUANGAN DAN ANGGARAN,MD,15,,41,41
"MANAGER KEUANGAN, ANGGARAN, DAN AKUNTANSI",MD,15,,4,4
MANAGER KINERJA DIREKTORAT KORPORAT DAN UNIT BINAAN 1,MD,16,,1,1
MANAGER KINERJA DIREKTORAT KORPORAT DAN UNIT BINAAN 2,MD,16,,1,1
MANAGER KINERJA DISTRIBUSI,MD,16,,1,1
MANAGER KINERJA NIAGA DAN LAPORAN MANAJEMEN,MD,16,,1,1
MANAGER KINERJA PEMBANGKITAN,MD,16,,1,1
MANAGER KINERJA RANTAI PASOK,MD,16,,1,1
"MANAGER KINERJA SUBHOLDING, ANAK PERUSAHAAN, DAN AFILIASI 1",MD,16,,1,1
"MANAGER KINERJA SUBHOLDING, ANAK PERUSAHAAN, DAN AFILIASI 2",MD,16,,1,1
MANAGER KOMUNIKASI CEO OFFICE,MD,16,,1,1
MANAGER KOMUNIKASI DAN KOLABORASI PENGEMBANGAN BISNIS,MD,16,,1,1
MANAGER KOMUNIKASI DAN TJSL,MD,15,,27,27
MANAGER KOMUNIKASI INTERNAL,MD,16,,1,1
MANAGER KOMUNIKASI PERUBAHAN,MD,16,,1,1
MANAGER KONSOLIDASI DATA LAPORAN KEUANGAN,MD,16,,1,1
MANAGER KONSTRUKSI,MD,15,,2,2
"MANAGER KONSTRUKSI JARINGAN JAWA, MADURA, BALI",MD,16,,1,1
MANAGER KONSTRUKSI JARINGAN KALIMANTAN DAN SULAWESI,MD,16,,1,1
"MANAGER KONSTRUKSI JARINGAN MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
MANAGER KONSTRUKSI JARINGAN SUMATERA,MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT IPP EBT JAWA, MADURA, BALI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT IPP EBT SUMATERA, KALIMANTAN DAN SULAWESI",MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT IPP NON EBT JAWA, MADURA, BALI, MALUKU,PAPUA DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT IPP NON EBT SUMATERA, KALIMANTAN DAN SULAWESI",MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT PLN EBT JAWA, MADURA, BALI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT PLN EBT SUMATERA, KALIMANTAN DAN SULAWESI",MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT PLN NON EBT JAWA, MADURA, BALI, MALUKU,PAPUA DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER KONSTRUKSI PEMBANGKIT PLN NON EBT SUMATERA, KALIMANTAN DAN SULAWESI",MD,16,,1,1
"MANAGER KONSTRUKSI TRANSMISI KALIMANTAN, SULAWESI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER KONSTRUKSI TRANSMISI SUMATERA, JAWA, MADURA, DAN BALI",MD,16,,1,1
MANAGER KONSULTANSI AUDIT 1A,MD,16,,1,1
MANAGER KONSULTANSI AUDIT 1B,MD,16,,1,1
MANAGER KONSULTANSI AUDIT 2A,MD,16,,1,1
MANAGER KONSULTANSI AUDIT 2B,MD,16,,1,1
MANAGER KONSULTANSI AUDIT 3A,MD,16,,1,1
MANAGER KONSULTANSI AUDIT 3B,MD,16,,1,1
MANAGER KONSUMSI ENERGI,MD,16,,1,1
MANAGER KONTRAK JAKARTA,MD,16,,1,1
MANAGER KONTRAK JAWA BARAT,MD,16,,1,1
MANAGER KONTRAK JAWA TENGAH DAN D.I. YOGYAKARTA,MD,16,,1,1
MANAGER KONTRAK JAWA TIMUR,MD,16,,1,1
MANAGER KONTRAK RIAU DAN KEPULAUAN RIAU,MD,16,,1,1
MANAGER KONTRAK SULAWESI SELATAN,MD,16,,1,1
MANAGER KONTRAK SUMSEL,MD,16,,1,1
MANAGER KONTRAK SUMUT,MD,16,,1,1
MANAGER KONTROL KUALITAS DAN REGULASI PENGADAAN PEMBANGKIT DAN IPP,MD,16,,1,1
"MANAGER KONTROL KUALITAS DAN REGULASI PENGADAAN TRANSMISI, GARDU INDUK, DAN MATERIAL TERPUSAT",MD,16,,1,1
MANAGER KORPORASI,MD,16,,1,1
MANAGER KPKU,MD,16,,1,1
"MANAGER KUALITAS DAN EFISIENSI DISTRIBUSI JAWA, MADURA, DAN BALI",MD,16,,1,1
"MANAGER KUALITAS DAN EFISIENSI DISTRIBUSI SULAWESI, MALUKU, PAPUA, DAN NUSA TENGGARA",MD,16,,1,1
MANAGER KUALITAS DAN EFISIENSI DISTRIBUSI SUMATERA DAN KALIMANTAN,MD,16,,1,1
MANAGER LAPORAN MANAJEMEN DAN STATISTIK,MD,16,,1,1
MANAGER LAYANAN KHUSUS DAN PENGUSAHAAN,MD,16,,1,1
MANAGER LAYANAN PRIORITAS DAN PAE,MD,15,,14,14
"MANAGER LEGAL ASET PROPERTI KALIMANTAN, SULAWESI, MALUKU, PAPUA, DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER LEGAL ASET PROPERTI SUMATERA, JAWA, MADURA, DAN BALI",MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER DISTRIBUSI,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER HUMAN CAPITAL,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER IPP DAN PEMBANGKITAN,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER KEUANGAN DAN PENDANAAN,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER KONSTRUKSI DAN PMO,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER PENGADAAN ENERGI BARU TERBARUKAN,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER PENGADAAN KONSTRUKSI DAN RANTAI PASOK,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER RETAIL DAN NIAGA,MD,16,,1,1
MANAGER LEGAL BUSINESS PARTNER TRANSISI ENERGI,MD,16,,1,1
MANAGER LEGAL SHARE SERVICE,MD,16,,1,1
MANAGER LOGISTIK,MD,15,,1,1
MANAGER LOGISTIK DAN INVENTORY,MD,15,,1,1
MANAGER LOGISTIK DAN KEPABEANAN,MD,15,,11,11
MANAGER MANAJEMEN ASET,MD,15,,6,6
MANAGER MANAJEMEN ASET DISTRIBUSI,MD,16,,1,1
MANAGER MANAJEMEN ASET TRANSMISI,MD,16,,1,1
MANAGER MANAJEMEN DAN ENJINIRING DATA PERUSAHAAN,MD,16,,1,1
MANAGER MANAJEMEN DEMAND,MD,16,,2,1
MANAGER MANAJEMEN HUBUNGAN INDUSTRIAL,MD,16,,1,1
MANAGER MANAJEMEN INTEGRITAS,MD,16,,1,1
MANAGER MANAJEMEN KELAYAKAN INFRASTRUKTUR PEMBANGKITAN,MD,16,,1,1
MANAGER MANAJEMEN KELAYAKAN INFRASTRUKTUR TRANSMISI DAN GARDU INDUK,MD,16,,1,1
MANAGER MANAJEMEN KEPATUHAN REGULASI,MD,16,,1,1
MANAGER MANAJEMEN KINERJA HUMAN CAPITAL,MD,16,,1,1
MANAGER MANAJEMEN LOGISTIK,MD,16,,2,1
MANAGER MANAJEMEN MUTU DAN SISTEM MANAJEMEN TERINTEGRASI,MD,15,,1,1
MANAGER MANAJEMEN PENGETAHUAN,MD,15,,1,1
MANAGER MANAJEMEN RISIKO DAN KEPATUHAN PERBENDAHARAAN,MD,16,,1,1
MANAGER MANAJEMEN RISIKO DAN PERFORMA VENDOR,MD,16,,1,1
MANAGER MANAJEMEN RISIKO KECURANGAN OPERASI DAN PROYEK,MD,16,,1,1
MANAGER MANAJEMEN RISIKO KECURANGAN STRATEGI DAN KEUANGAN,MD,16,,1,1
MANAGER MANAJEMEN SUPPLY,MD,16,,1,1
MANAGER MEDIA SOSIAL DAN DIGITAL,MD,16,,1,1
MANAGER MONITORING 1,MD,16,,1,1
MANAGER MONITORING 2,MD,16,,1,1
MANAGER MONITORING DAN EVALUASI INVESTASI,MD,16,,1,1
MANAGER MONITORING DAN EVALUASI PENJUALAN,MD,16,,1,1
MANAGER MONITORING DAN EVALUASI RUPTL,MD,16,,1,1
MANAGER MONITORING KEMITRAAN TENAGA KERJA,MD,16,,1,1
MANAGER MONITORING PINJAMAN DAN PELAPORAN,MD,16,,1,1
"MANAGER OPERASI DAN PEMELIHARAAN GARDU INDUK KALIMANTAN, SULAWESI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER OPERASI DAN PEMELIHARAAN GARDU INDUK SUMATERA, JAWA, MADURA, DAN BALI",MD,16,,1,1
MANAGER OPERASI DAN PEMELIHARAAN SISTEM DISTRIBUSI,MD,15,,20,20
MANAGER OPERASI PEMBANGKITAN,MD,15,,4,4
"MANAGER OPERASI PEMBANGKITAN IPP JAWA, MADURA DAN BALI",MD,16,,1,1
"MANAGER OPERASI PEMBANGKITAN IPP SULAWESI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
MANAGER OPERASI PEMBANGKITAN IPP SUMATERA DAN KALIMANTAN,MD,16,,1,1
"MANAGER OPERASI PEMBANGKITAN PLN SULAWESI, MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER OPERASI PEMBANGKITAN PLN SUMATERA, KALIMANTAN, JAWA, MADURA, DAN BALI",MD,16,,1,1
"MANAGER OPERASI PEMBANGKITAN SUBHOLDING DAN ANAK PERUSAHAAN JAWA, MADURA DAN BALI",MD,16,,1,1
"MANAGER OPERASI PEMBANGKITAN SUBHOLDING DAN ANAK PERUSAHAAN SULAWESI,MALUKU, PAPUA DAN NUSA TENGGARA",MD,16,,1,1
MANAGER OPERASI PEMBANGKITAN SUBHOLDING DAN ANAK PERUSAHAAN SUMATERA DAN KALIMANTAN,MD,16,,1,1
MANAGER OPERASI PROYEK JARINGAN,MD,15,,1,1
MANAGER OPERASI PROYEK PEMBANGKIT,MD,15,,1,1
MANAGER OPERASIONAL PAYMENT CENTRALIZATION,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI ACEH,MD,15,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI BALI DAN NUSA TENGGARA,MD,15,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI BANTEN,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAKARTA 1,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAKARTA 2,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA BARAT,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA TENGAH DAN D.I. YOGYAKARTA,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA TIMUR,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KALIMANTAN BARAT,MD,15,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,MD,15,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI PAPUA DAN PAPUA BARAT,MD,16,,1,1
"MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SULAWESI SELATAN, SULAWESI TENGGARA DAN SULAWESI BARAT",MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA SELATAN,MD,15,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA TENGAH,MD,16,,1,1
MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA UTARA,MD,16,,1,1
MANAGER PAJAK PEMBAYARAN TERPUSAT,MD,16,,1,1
MANAGER PDKB,MD,15,,2,1
MANAGER PDKB DAN FASILITAS PEMELIHARAAN,MD,15,,6,5
MANAGER PELAKSANA PENGADAAN,MD,15,,42,42
MANAGER PELAKSANA PENGADAAN EPC PEMBANGKIT EBT,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN EPC PEMBANGKIT NON EBT,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN I,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN II,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN IPP ANEKA ENERGI,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN IPP HIDRO,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN IPP PANAS BUMI DAN NON EBT,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN MATERIAL TERPUSAT 1,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN MATERIAL TERPUSAT 2,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN MATERIAL TERPUSAT 3,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN TRANSMISI DAN GARDU INDUK 1,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN TRANSMISI DAN GARDU INDUK 2,MD,16,,1,1
MANAGER PELAKSANA PENGADAAN TRANSMISI DAN GARDU INDUK 3,MD,16,,1,1
MANAGER PELAKSANAAN KONSULTASI SISTEM MANAJEMEN,MD,15,,1,1
MANAGER PELAPORAN AUDIT,MD,16,,1,1
MANAGER PELAPORAN DAN EVALUASI ASET,MD,16,,1,1
MANAGER PELAPORAN DAN EVALUASI KEUANGAN MANAJEMEN KORPORAT,MD,16,,1,1
"MANAGER PELAPORAN DAN EVALUASI KINERJA KEUANGAN DISTRIBUSI, RETAIL, NIAGA, DAN ANALISA PENDAPATAN",MD,16,,1,1
MANAGER PELAPORAN DAN EVALUASI KINERJA KEUANGAN PEMBANGKITAN DAN ANALISA VARIABLE COST,MD,16,,1,1
MANAGER PELAPORAN DAN EVALUASI KINERJA KEUANGAN TRANSMISI DAN ANALISA FIXED COST,MD,16,,1,1
MANAGER PELAPORAN DAN PENGENDALIAN ANGGARAN,MD,16,,1,1
MANAGER PELAPORAN KEUANGAN KANTOR PUSAT,MD,16,,1,1
MANAGER PELAPORAN KEUANGAN KONSOLIDASI DAN PLN HOLDING,MD,16,,1,1
MANAGER PELAPORAN PENUTUPAN DAN RISIKO ASURANSI,MD,16,,1,1
MANAGER PELAPORAN TATA USAHA PELANGGAN,MD,16,,1,1
MANAGER PELAPORAN TJSL,MD,16,,1,1
MANAGER PELAYANAN ASESMEN DAN KEUANGAN,MD,15,,1,1
MANAGER PELAYANAN BUMN,MD,16,,1,1
MANAGER PELAYANAN DATA HUMAN CAPITAL DAN PURNAKARYA,MD,16,,1,1
MANAGER PELAYANAN FASILITAS TERPUSAT,MD,16,,1,1
MANAGER PELAYANAN HUMAN CAPITAL BANTEN DAN JAKARTA RAYA,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL JAWA BARAT,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL JAWA TENGAH DAN DIY,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL JAWA TIMUR DAN BALI,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL KALIMANTAN,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL MALUKU DAN PAPUA,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL NUSA TENGGARA,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL SULAWESI,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL SUMATERA BAGIAN SELATAN,MD,15,,1,1
MANAGER PELAYANAN HUMAN CAPITAL SUMATERA BAGIAN UTARA,MD,15,,1,1
MANAGER PELAYANAN INFORMASI PUBLIK,MD,16,,1,1
MANAGER PELAYANAN KOMPENSASI HUMAN CAPITAL,MD,16,,1,1
MANAGER PELAYANAN PELANGGAN,MD,15,,22,22
MANAGER PELAYANAN PEMERINTAH,MD,16,,1,1
MANAGER PELAYANAN SERTIFIKASI DAN ASESMEN,MD,15,,1,1
MANAGER PEMANTAUAN DAN PELAPORAN MANAJEMEN RISIKO KORPORASI,MD,16,,1,1
MANAGER PEMASARAN,MD,15,,2,2
MANAGER PEMBANGKITAN,MD,15,,11,11
MANAGER PEMBAYARAN KANTOR PUSAT,MD,16,,1,1
MANAGER PEMBAYARAN PUSAT PENUNJANG,MD,16,,1,1
MANAGER PEMBAYARAN UID & UIW-1,MD,16,,1,1
MANAGER PEMBAYARAN UID & UIW-2,MD,16,,1,1
MANAGER PEMBAYARAN UID & UIW-3,MD,16,,1,1
MANAGER PEMBAYARAN UID 1,MD,16,,1,1
MANAGER PEMBAYARAN UID 2,MD,16,,1,1
MANAGER PEMBAYARAN UIP,MD,16,,1,1
MANAGER PEMBAYARAN UIT,MD,16,,1,1
MANAGER PEMBINAAN PEMELIHARAAN PROTEKSI,MD,15,,2,1
MANAGER PEMBINAAN PEMELIHARAAN TRANSMISI,MD,15,,2,1
MANAGER PEMBINAAN VENDOR,MD,16,,1,1
MANAGER PEMELIHARAAN GARDU INDUK,MD,15,,4,3
MANAGER PEMELIHARAAN JARINGAN,MD,15,,4,3
MANAGER PEMELIHARAAN JARINGAN DAN GARDU INDUK,MD,15,,2,2
MANAGER PEMELIHARAAN PEMBANGKITAN,MD,15,,4,4
MANAGER PEMELIHARAAN PROTEKSI DAN METER,MD,15,,6,5
"MANAGER PEMELIHARAAN TRANSMISI KALIMANTAN, SULAWESI, MALUKU, PAPUA DANNUSA TENGGARA",MD,16,,1,1
"MANAGER PEMELIHARAAN TRANSMISI SUMATERA, JAWA, MADURA DAN BALI",MD,16,,1,1
MANAGER PEMETAAN ADDITIONAL DEMAND,MD,16,,1,1
MANAGER PEMODELAN RISIKO,MD,16,,1,1
MANAGER PENCARIAN DAN KUALIFIKASI VENDOR,MD,16,,1,1
MANAGER PENDANAAN DAN HIBAH DALAM NEGERI,MD,16,,1,1
MANAGER PENDANAAN DAN HIBAH LUAR NEGERI,MD,16,,1,1
MANAGER PENDAPATAN INSTANSI VERTIKAL,MD,16,,1,1
MANAGER PENDAPATAN TERPUSAT,MD,16,,1,1
MANAGER PENDAYAGUNAAN ASET PROPERTI,MD,16,,1,1
MANAGER PENDIDIKAN FORMAL,MD,16,,1,1
MANAGER PENGAMANAN PENDAPATAN,MD,15,,22,22
MANAGER PENGELOLAAN ANGGARAN INVESTASI 1,MD,16,,1,1
MANAGER PENGELOLAAN ANGGARAN INVESTASI 2,MD,16,,1,1
MANAGER PENGELOLAAN ANGGARAN OPERASI 1A,MD,16,,1,1
MANAGER PENGELOLAAN ANGGARAN OPERASI 1B,MD,16,,1,1
MANAGER PENGELOLAAN ANGGARAN OPERASI 2A,MD,16,,1,1
MANAGER PENGELOLAAN ANGGARAN OPERASI 2B,MD,16,,1,1
MANAGER PENGELOLAAN ANGGARAN TRANSMISI,MD,16,,1,1
"MANAGER PENGELOLAAN ASET DISTRIBUSI JAWA, MADURA, DAN BALI",MD,16,,1,1
"MANAGER PENGELOLAAN ASET DISTRIBUSI SULAWESI, MALUKU, PAPUA, DAN NUSA TENGGARA",MD,16,,1,1
MANAGER PENGELOLAAN ASET DISTRIBUSI SUMATERA DAN KALIMANTAN,MD,16,,1,1
MANAGER PENGELOLAAN COVENANT DAN PENARIKAN PMN,MD,16,,1,1
MANAGER PENGELOLAAN DAN PEMELIHARAAN ASET PROPERTI,MD,16,,1,1
MANAGER PENGELOLAAN DATA CENTER DAN FASILITAS,MD,16,,1,1
MANAGER PENGELOLAAN DATABASE KOMUNIKASI DAN TJSL,MD,16,,1,1
MANAGER PENGELOLAAN JARINGAN DAN KOMUNIKASI DATA,MD,16,,1,1
MANAGER PENGELOLAAN KAJIAN SISTEM KETENAGALISTRIKAN,MD,16,,1,1
MANAGER PENGELOLAAN KEARSIPAN,MD,16,,1,1
MANAGER PENGELOLAAN KEMITRAAN DAN RANTAI PASOK PEMBELAJARAN,MD,15,,1,1
MANAGER PENGELOLAAN KLAIM ASURANSI,MD,16,,1,1
MANAGER PENGELOLAAN KOMERSIALISASI PRODUK,MD,16,,1,1
MANAGER PENGELOLAAN KUALITAS AIR DAN UDARA,MD,16,,1,1
MANAGER PENGELOLAAN LIKUIDITAS MATA UANG ASING,MD,16,,1,1
MANAGER PENGELOLAAN LIKUIDITAS MATA UANG LOKAL,MD,16,,1,1
MANAGER PENGELOLAAN LIMBAH B3 DAN NON B3,MD,16,,1,1
"MANAGER PENGELOLAAN LISTRIK DESA SULAWESI, MALUKU, PAPUA, DAN NUSA TENGGARA",MD,16,,1,1
"MANAGER PENGELOLAAN LISTRIK DESA SUMATERA, KALIMANTAN, JAWA, MADURA, DAN BALI",MD,16,,1,1
MANAGER PENGELOLAAN MATERIAL CADANG TRANSMISI,MD,16,,1,1
MANAGER PENGELOLAAN PAJAK PENGHASILAN (PPh),MD,16,,1,1
MANAGER PENGELOLAAN PAJAK PERTAMBAHAN NILAI (PPN),MD,16,,1,1
MANAGER PENGELOLAAN PEMBAYARAN PINJAMAN,MD,16,,1,1
"MANAGER PENGELOLAAN PEMBELAJARAN, ASESMEN, DAN SERTIFIKASI BERBASISDIGITAL",MD,15,,1,1
MANAGER PENGELOLAAN PERGUDANGAN TRANSMISI,MD,16,,1,1
MANAGER PENGELOLAAN PERUBAHAN IKLIM,MD,16,,1,1
MANAGER PENGELOLAAN PIUTANG,MD,16,,1,1
"MANAGER PENGELOLAAN SAHAM, SHL, AP, DAN AFILIASI",MD,16,,1,1
MANAGER PENGELOLAAN SERVICE MANAGEMENT TEKNOLOGI INFORMASI,MD,16,,1,1
MANAGER PENGELOLAAN SISTEM INFORMASI PROYEK DAN INVESTASI REGIONAL 1,MD,16,,1,1
