nama_posisi,kelompok_jabatan,fungsi,jenjang_utama,level_utama,bidang,sub_bidang,bidang_pembidangan,kata_kunci_pemicu,is_entry_level,jumlah_pegawai,jumlah_unit_induk
MANAGER UNIT LAYANAN PELANGGAN KEUDE BIENG,MANAGER,UNIT LAYANAN PELANGGAN KEUDE BIENG,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KIJANG,MANAGER,UNIT LAYANAN PELANGGAN KIJANG,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KLAKAH,MANAGER,UNIT LAYANAN PELANGGAN KLAKAH,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KLATEN KOTA,MANAGER,UNIT LAYANAN PELANGGAN KLATEN KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KLUNGKUNG,MANAGER,UNIT LAYANAN PELANGGAN KLUNGKUNG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOBA,MANAGER,UNIT LAYANAN PELANGGAN KOBA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOBISONTA,MANAGER,UNIT LAYANAN PELANGGAN KOBISONTA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOLAKA,MANAGER,UNIT LAYANAN PELANGGAN KOLAKA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOLAKA UTARA,MANAGER,UNIT LAYANAN PELANGGAN KOLAKA UTARA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KONAWE SELATAN,MANAGER,UNIT LAYANAN PELANGGAN KONAWE SELATAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOPANG,MANAGER,UNIT LAYANAN PELANGGAN KOPANG,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOPO,MANAGER,UNIT LAYANAN PELANGGAN KOPO,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOSAMBI,MANAGER,UNIT LAYANAN PELANGGAN KOSAMBI,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA AGUNG,MANAGER,UNIT LAYANAN PELANGGAN KOTA AGUNG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA BANGUN,MANAGER,UNIT LAYANAN PELANGGAN KOTA BANGUN,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA BARU,MANAGER,UNIT LAYANAN PELANGGAN KOTA BARU,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA BUNGO,MANAGER,UNIT LAYANAN PELANGGAN KOTA BUNGO,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA FAJAR,MANAGER,UNIT LAYANAN PELANGGAN KOTA FAJAR,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA METRO,MANAGER,UNIT LAYANAN PELANGGAN KOTA METRO,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA NOPAN,MANAGER,UNIT LAYANAN PELANGGAN KOTA NOPAN,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTA PINANG,MANAGER,UNIT LAYANAN PELANGGAN KOTA PINANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTABARU KOTA,MANAGER,UNIT LAYANAN PELANGGAN KOTABARU KOTA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTARAYA,MANAGER,UNIT LAYANAN PELANGGAN KOTARAYA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KOTO TUO,MANAGER,UNIT LAYANAN PELANGGAN KOTO TUO,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KRAKSAAN,MANAGER,UNIT LAYANAN PELANGGAN KRAKSAAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KRIAN,MANAGER,UNIT LAYANAN PELANGGAN KRIAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KROYA,MANAGER,UNIT LAYANAN PELANGGAN KROYA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KRUENG GEUKUEH,MANAGER,UNIT LAYANAN PELANGGAN KRUENG GEUKUEH,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUALA,MANAGER,UNIT LAYANAN PELANGGAN KUALA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUALA ENOK,MANAGER,UNIT LAYANAN PELANGGAN KUALA ENOK,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUALA KURUN,MANAGER,UNIT LAYANAN PELANGGAN KUALA KURUN,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUALA PEMBUANG,MANAGER,UNIT LAYANAN PELANGGAN KUALA PEMBUANG,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUALA SIMPANG,MANAGER,UNIT LAYANAN PELANGGAN KUALA SIMPANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUALA TUNGKAL,MANAGER,UNIT LAYANAN PELANGGAN KUALA TUNGKAL,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUDUS KOTA,MANAGER,UNIT LAYANAN PELANGGAN KUDUS KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUNINGAN,MANAGER,UNIT LAYANAN PELANGGAN KUNINGAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUPANG,MANAGER,UNIT LAYANAN PELANGGAN KUPANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUPRIK,MANAGER,UNIT LAYANAN PELANGGAN KUPRIK,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KURANJI,MANAGER,UNIT LAYANAN PELANGGAN KURANJI,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KURIK,MANAGER,UNIT LAYANAN PELANGGAN KURIK,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUTA,MANAGER,UNIT LAYANAN PELANGGAN KUTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUTACANE,MANAGER,UNIT LAYANAN PELANGGAN KUTACANE,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KUTOARJO,MANAGER,UNIT LAYANAN PELANGGAN KUTOARJO,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN KWANDANG,MANAGER,UNIT LAYANAN PELANGGAN KWANDANG,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LABUAN,MANAGER,UNIT LAYANAN PELANGGAN LABUAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LABUAN BAJO,MANAGER,UNIT LAYANAN PELANGGAN LABUAN BAJO,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LABUHAN,MANAGER,UNIT LAYANAN PELANGGAN LABUHAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LABUHAN BILIK,MANAGER,UNIT LAYANAN PELANGGAN LABUHAN BILIK,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LABUHAN HAJI,MANAGER,UNIT LAYANAN PELANGGAN LABUHAN HAJI,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LAIWUI,MANAGER,UNIT LAYANAN PELANGGAN LAIWUI,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LAKAWAN,MANAGER,UNIT LAYANAN PELANGGAN LAKAWAN,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LAMBARO,MANAGER,UNIT LAYANAN PELANGGAN LAMBARO,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LAMBUNG MANGKURAT,MANAGER,UNIT LAYANAN PELANGGAN LAMBUNG MANGKURAT,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LAMONGAN,MANAGER,UNIT LAYANAN PELANGGAN LAMONGAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LANGSA KOTA,MANAGER,UNIT LAYANAN PELANGGAN LANGSA KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LARANTUKA,MANAGER,UNIT LAYANAN PELANGGAN LARANTUKA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LAWANG,MANAGER,UNIT LAYANAN PELANGGAN LAWANG,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LELES,MANAGER,UNIT LAYANAN PELANGGAN LELES,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LEMAH ABANG,MANAGER,UNIT LAYANAN PELANGGAN LEMAH ABANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LEMBANG,MANAGER,UNIT LAYANAN PELANGGAN LEMBANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LEMBATA,MANAGER,UNIT LAYANAN PELANGGAN LEMBATA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LEMBAYUNG,MANAGER,UNIT LAYANAN PELANGGAN LEMBAYUNG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LEOK,MANAGER,UNIT LAYANAN PELANGGAN LEOK,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LEUWILIANG,MANAGER,UNIT LAYANAN PELANGGAN LEUWILIANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LHOKSEUMAWE KOTA,MANAGER,UNIT LAYANAN PELANGGAN LHOKSEUMAWE KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LHOKSUKON,MANAGER,UNIT LAYANAN PELANGGAN LHOKSUKON,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LIMA PULUH,MANAGER,UNIT LAYANAN PELANGGAN LIMA PULUH,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LIMA PULUH KOTA,MANAGER,UNIT LAYANAN PELANGGAN LIMA PULUH KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LIMBOTO,MANAGER,UNIT LAYANAN PELANGGAN LIMBOTO,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LINTAU,MANAGER,UNIT LAYANAN PELANGGAN LINTAU,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LIPAT KAIN,MANAGER,UNIT LAYANAN PELANGGAN LIPAT KAIN,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LIRUNG,MANAGER,UNIT LAYANAN PELANGGAN LIRUNG,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LIWA,MANAGER,UNIT LAYANAN PELANGGAN LIWA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LONG IKIS,MANAGER,UNIT LAYANAN PELANGGAN LONG IKIS,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LUBUK ALUNG,MANAGER,UNIT LAYANAN PELANGGAN LUBUK ALUNG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LUBUK BASUNG,MANAGER,UNIT LAYANAN PELANGGAN LUBUK BASUNG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LUBUK LINGGAU,MANAGER,UNIT LAYANAN PELANGGAN LUBUK LINGGAU,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LUBUK PAKAM,MANAGER,UNIT LAYANAN PELANGGAN LUBUK PAKAM,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LUBUK SIKAPING,MANAGER,UNIT LAYANAN PELANGGAN LUBUK SIKAPING,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN LUMAJANG,MANAGER,UNIT LAYANAN PELANGGAN LUMAJANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MABA,MANAGER,UNIT LAYANAN PELANGGAN MABA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MADIUN KOTA,MANAGER,UNIT LAYANAN PELANGGAN MADIUN KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAGELANG KOTA,MANAGER,UNIT LAYANAN PELANGGAN MAGELANG KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAGETAN,MANAGER,UNIT LAYANAN PELANGGAN MAGETAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAJALAYA KOTA,MANAGER,UNIT LAYANAN PELANGGAN MAJALAYA KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAJALENGKA,MANAGER,UNIT LAYANAN PELANGGAN MAJALENGKA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAJENANG,MANAGER,UNIT LAYANAN PELANGGAN MAJENANG,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAJENE,MANAGER,UNIT LAYANAN PELANGGAN MAJENE,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAKALE,MANAGER,UNIT LAYANAN PELANGGAN MAKALE,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAKO,MANAGER,UNIT LAYANAN PELANGGAN MAKO,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MALANG KOTA,MANAGER,UNIT LAYANAN PELANGGAN MALANG KOTA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MALILI,MANAGER,UNIT LAYANAN PELANGGAN MALILI,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MALINAU,MANAGER,UNIT LAYANAN PELANGGAN MALINAU,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MALINGPING,MANAGER,UNIT LAYANAN PELANGGAN MALINGPING,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MALINO,MANAGER,UNIT LAYANAN PELANGGAN MALINO,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAMASA,MANAGER,UNIT LAYANAN PELANGGAN MAMASA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANADO SELATAN,MANAGER,UNIT LAYANAN PELANGGAN MANADO SELATAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANADO UTARA,MANAGER,UNIT LAYANAN PELANGGAN MANADO UTARA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANAHAN,MANAGER,UNIT LAYANAN PELANGGAN MANAHAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANAKARRA,MANAGER,UNIT LAYANAN PELANGGAN MANAKARRA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANDE,MANAGER,UNIT LAYANAN PELANGGAN MANDE,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANGGAR,MANAGER,UNIT LAYANAN PELANGGAN MANGGAR,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANNA,MANAGER,UNIT LAYANAN PELANGGAN MANNA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANOKWARI KOTA,MANAGER,UNIT LAYANAN PELANGGAN MANOKWARI KOTA,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MANTINGAN,MANAGER,UNIT LAYANAN PELANGGAN MANTINGAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAOSPATI,MANAGER,UNIT LAYANAN PELANGGAN MAOSPATI,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MARABAHAN,MANAGER,UNIT LAYANAN PELANGGAN MARABAHAN,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MARIANA,MANAGER,UNIT LAYANAN PELANGGAN MARIANA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MARISA,MANAGER,UNIT LAYANAN PELANGGAN MARISA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MAROS,MANAGER,UNIT LAYANAN PELANGGAN MAROS,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MARTAPURA,MANAGER,UNIT LAYANAN PELANGGAN MARTAPURA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,2,2
MANAGER UNIT LAYANAN PELANGGAN MASAMBA,MANAGER,UNIT LAYANAN PELANGGAN MASAMBA,G3,14,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
MANAGER UNIT LAYANAN PELANGGAN MASOHI,MANAGER,UNIT LAYANAN PELANGGAN MASOHI,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,LAYANAN PELANGGAN,0,1,1
