unit_induk,nama_posisi,jenjang,jumlah_pegawai
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA KANTOR PUSAT,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID BALI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID BANTEN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID JAKARTA RAYA,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID KALBAR,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID KALSELTENG,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID KALTIMRA,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID LAMPUNG,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID RIAU DAN KEPRI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UID SUMATERA BARAT,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UIP3B KALIMANTAN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UIP3B SULAWESI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UIT JBB,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UIW MALUKU DAN MALUKU UTARA,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGENAAN PAJAK KANTOR PUSAT,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGENDALIAN LAYANAN TEKNOLOGI INFORMASI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENYELESAIAN PERMASALAHAN HUBUNGAN INDUSTRIAL,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PERENCANA PENGADAAN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PERENCANAAN DAN PENGEMBANGAN SISTEM MANAJEMEN STAKEHOLDER,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PERENCANAAN KINERJA HUMAN CAPITAL,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PERENCANAAN TENAGA KERJA,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PRIORITISASI DAN INTEGRASI INVESTASI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PRIORITY ACCOUNT EXECUTIVE SEKTOR INDIVIDU,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PRIORITY ACCOUNT EXECUTIVE SEKTOR KORPORASI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PRODUCT BRANDING,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PROSES DAN EVALUASI BILLING,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PROTOKOLER DIREKSI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER PUSAT OPERASI KEAMANAN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER REGULASI EKSTERNAL BISNIS KORPORAT,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER REGULASI INTERNAL BISNIS KORPORAT,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER REKRUTMEN DAN ONBOARDING,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO DISTRIBUSI MALUKU DAN PAPUA,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO DISTRIBUSI SUMATERA BAGIAN UTARA,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO JAMINAN PENDAPATAN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO KEBIJAKAN KORPORASI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO ORGANISASI DAN HUMAN CAPITAL,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO PELAYANAN PELANGGAN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO PORTOFOLIO DAN REVENUE MODEL,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO RANTAI PASOK DAN PUSAT-PUSAT,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER RISIKO REGULASI DAN PEMANGKU KEPENTINGAN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM MANAJEMEN TERINTEGRASI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM TEKNOLOGI INFORMASI BANTEN 2,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM TEKNOLOGI INFORMASI JAKARTA 1,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM TEKNOLOGI INFORMASI JAKARTA 3,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM TEKNOLOGI INFORMASI JAKARTA 5,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM TEKNOLOGI INFORMASI JAWA BARAT 1,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM TEKNOLOGI INFORMASI SULAWESI UTARA DAN GORONTALO,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SISTEM TEKNOLOGI INFORMASI SUMATERA SELATAN 1,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER SOLUSI GEOSPASIAL,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER STRATEGI OFFICE OF STRATEGY MANAGEMENT,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER STRATEGI SUSTAINABILITY 1,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER STRATEGI SUSTAINABILITY 2,G2,3
PT PLN (PERSERO) KANTOR PUSAT,OFFICER STRATEGIC DELIVERY UNIT REGIONAL 2C,G2,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER ADMINISTRASI AKUNTANSI PINJAMAN KANTOR PUSAT,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER AKUNTANSI TRANSAKSI KANTOR PUSAT,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER APLIKASI DISTRIBUSI,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER EFEKTIVITAS ORGANISASI DAN TENAGA KERJA AREA 5,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER EFEKTIVITAS ORGANISASI DAN TENAGA KERJA AREA 9,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER INKUBASI PENGEMBANGAN PRODUK NIAGA,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER KEBIJAKAN OPERASIONAL HUMAN CAPITAL,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER KONSOLIDASI DATA,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER PELAYANAN KOMPENSASI HUMAN CAPITAL,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER PENGELOLAAN KOMERSIALISASI PRODUK,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER PENGELOLAAN PERGUDANGAN TRANSMISI,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER PENGEMBANGAN MANAJEMEN,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER PENGENDALIAN KINERJA DAN ANGGARAN KONSTRUKSI,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER PERENCANAAN DAN STRATEGI PENGEMBANGAN PRODUK NIAGA,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER SISTEM MANAJEMEN VALUASI ASET,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER SISTEM TEKNOLOGI INFORMASI JAWA BARAT 1,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER SISTEM TEKNOLOGI INFORMASI JAWA TENGAH,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER SISTEM TEKNOLOGI INFORMASI JAWA TIMUR 1,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER SISTEM TEKNOLOGI INFORMASI JAWA TIMUR 3,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER VERIFIKASI INVESTASI,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR SPECIALIST MANAJEMEN RISIKO,SSP,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR TECHNICIAN ENERGI HIDRO PLN,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SENIOR TECHNICIAN PROTEKSI SISTEM KETENAGALISTRIKAN,G3,3
PT PLN (PERSERO) KANTOR PUSAT,SPECIALIST MANAJEMEN PEMBANGKITAN,SPC,3
PT PLN (PERSERO) KANTOR PUSAT,SPECIALIST PERBENDAHARAAN,SPC,3
PT PLN (PERSERO) KANTOR PUSAT,SPECIALIST PERENCANAAN STRATEGIS TRANSMISI,SPC,3
PT PLN (PERSERO) KANTOR PUSAT,SPECIALIST STRATEGI AUDIT DAN KONSULTANSI,SPC,3
PT PLN (PERSERO) KANTOR PUSAT,SPECIALIST TEKNOLOGI INFORMASI,SPC,3
PT PLN (PERSERO) KANTOR PUSAT,SPECIALIST TRANSMISI,SPC,3
PT PLN (PERSERO) KANTOR PUSAT,TECHNICIAN BIO ENERGI,G2,3
PT PLN (PERSERO) KANTOR PUSAT,TECHNICIAN ENERGI HIDRO PLN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,TECHNICIAN ENVIRONMENTAL SAFEGUARD,G2,3
PT PLN (PERSERO) KANTOR PUSAT,"TECHNICIAN PENGENDALIAN KONSTRUKSI DAN SERTIFIKASI ASET DISTRIBUSI JAWA,MADURA DAN BALI",G2,3
PT PLN (PERSERO) KANTOR PUSAT,"TECHNICIAN PENGENDALIAN OPERASI SISTEM SUMATERA, KALIMANTAN, DANSULAWESI",G2,3
PT PLN (PERSERO) KANTOR PUSAT,TECHNICIAN PENGENDALIAN PEMBANGKITAN IPP SUMATERA DAN KALIMANTAN,G2,3
PT PLN (PERSERO) KANTOR PUSAT,"TECHNICIAN PERENCANAAN DAN EVALUASI KESELAMATAN DAN KESEHATAN KERJA,LINGKUNGAN DAN KEAMANAN",G2,3
PT PLN (PERSERO) KANTOR PUSAT,"TECHNICIAN PERENCANAAN SISTEM TRANSMISI, GARDU INDUK, DAN DEMAND FORECAST SULAWESI, MALUKU, PAPUA, DAN NUSA TENGGARA",G2,3
PT PLN (PERSERO) KANTOR PUSAT,"TECHNICIAN PERENCANAAN SISTEM TRANSMISI, GARDU INDUK, DAN DEMAND FORECAST SUMATERA DAN KALIMANTAN",G2,3
PT PLN (PERSERO) KANTOR PUSAT,"TECHNICIAN PROTEKSI DAN SCADATEL DISTRIBUSI JAWA, MADURA, DAN BALI",G2,3
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,OFFICER AKUNTANSI,G2,3
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,"OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",G2,3
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,OFFICER KEUANGAN DAN ANGGARAN,G2,3
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,"OFFICER MANAJEMEN RISIKO, KEPATUHAN, DAN SISTEM MANAJEMEN TERINTEGRASI",G2,3
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,SENIOR OFFICER KEUANGAN DAN ANGGARAN,G3,3
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,SENIOR OFFICER PERENCANAAN DAN KINERJA,G3,3
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,SPECIALIST KINERJA OPERASI PROYEK,SPC,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,JUNIOR OFFICER SUPPLY CHAIN MANAGEMENT,G1,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,OFFICER AKUNTANSI,G2,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,"OFFICER ASET PROPERTI, KOMUNIKASI DAN UMUM",G2,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,"OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",G2,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,SENIOR OFFICER ENJINIRING,G3,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,SENIOR OFFICER PENGENDALIAN WORKSHOP,G3,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,SENIOR OFFICER SUPPLY CHAIN MANAGEMENT,G3,3
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,SPECIALIST KINERJA PRODUKSI DAN WORKSHOP,SPC,3
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),OFFICER PELAYANAN DAN PENDAYAGUNAAN ASET PROPERTI,G2,3
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),OFFICER PENGELOLAAN KEMITRAAN DAN RANTAI PASOK PEMBELAJARAN,G2,3
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),OFFICER PENGEMBANGAN PEMBELAJARAN,G2,3
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),SENIOR OFFICER KINERJA PELAYANAN ASESMEN DAN KEUANGAN,G3,3
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),SENIOR OFFICER KINERJA PELAYANAN SERTIFIKASI DAN ASESMEN,G3,3
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),SENIOR OFFICER PENGEMBANGAN MATERI DIGITAL,G3,3
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,"OFFICER ASET PROPERTI, KOMUNIKASI DAN UMUM",G2,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,OFFICER PELAYANAN REGION,G2,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,OFFICER PENGENDALIAN ADMINISTRASI INSPEKSI,G2,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,OFFICER PENGENDALIAN ADMINISTRASI PENGUJIAN,G2,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,"OFFICER STANDARDISASI MUTU, PROSES DAN SISTEM MANAJEMEN TERINTEGRASI",G2,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,"SENIOR OFFICER ASET PROPERTI, KOMUNIKASI DAN UMUM",G3,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,"SENIOR OFFICER STANDARDISASI MUTU, PROSES DAN SISTEM MANAJEMEN TERINTEGRASI",G3,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,SENIOR TECHNICIAN PENGUJIAN PRODUK TEGANGAN RENDAH,G3,3
PT PLN (PERSERO) PUSAT SERTIFIKASI,TECHNICIAN PENGELOLAAN SERTIFIKASI PRODUK TEGANGAN RENDAH,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,OFFICER KEUANGAN DAN AKUNTANSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,OFFICER KOMUNIKASI DAN MANAJEMEN STAKEHOLDER,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,"OFFICER MANAJEMEN RISIKO, KEPATUHAN, DAN SISTEM MANAJEMEN TERINTEGRASI",G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,OFFICER PEMELIHARAAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,OFFICER PENGELOLAAN PEMBANGKITAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,OFFICER PERENCANAAN DAN EVALUASI SISTEM DISTRIBUSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,SENIOR OFFICER KINERJA,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,SENIOR TECHNICIAN PENGENDALIAN LISTRIK PERDESAAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,"SPECIALIST KINERJA KEUANGAN, KOMUNIKASI, DAN UMUM",SPC,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,TEAM LEADER PDKB,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,TECHNICIAN OPERASI DISTRIBUSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,ASSISTANT MANAGER JARINGAN DISTRIBUSI,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,ASSISTANT MANAGER KONSTRUKSI DISTRIBUSI,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,ASSISTANT MANAGER NIAGA DAN PEMASARAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,ASSISTANT MANAGER TRANSAKSI ENERGI LISTRIK,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,OFFICER KINERJA FASILITAS OPERASI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,OFFICER PRIORITY ACCOUNT EXECUTIVE,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,SENIOR OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,SENIOR OFFICER PENGAMANAN PENDAPATAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,SENIOR OFFICER PERENCANA PENGADAAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,SENIOR OFFICER STRATEGI PEMASARAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER ADMINISTRASI DAN UMUM,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER KEUANGAN DAN AKUNTANSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER MAPPING DATA JARINGAN DAN PELANGGAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER NIAGA DAN PELAYANAN PELANGGAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER OPERASI DISTRIBUSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER PDKB,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER PEMELIHARAAN DISTRIBUSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER PEMELIHARAAN METER TRANSAKSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER PENGENDALIAN SUSUT,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER PERENCANAAN SISTEM,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TEAM LEADER TRANSAKSI ENERGI LISTRIK,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER ADMINISTRASI DAN PELAYANAN PELANGGAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER ASET PROPERTI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER KINERJA NIAGA DAN PEMASARAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER KOMUNIKASI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER LINGKUNGAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,OFFICER PERENCANAAN PENGUSAHAAN DAN KINERJA,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER KINERJA,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER KINERJA KONSTRUKSI DISTRIBUSI,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER KINERJA NIAGA,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER KINERJA PEMELIHARAAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER PENGAMANAN PENDAPATAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER PENGENDALIAN OPERASI DAN PEMELIHARAAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SPECIALIST KINERJA DISTRIBUSI,SPC,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,"SPECIALIST KINERJA KEUANGAN, KOMUNIKASI, DAN UMUM",SPC,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SPECIALIST PERFORMANCE ASSISTANT TO GENERAL MANAGER,SPC,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,TECHNICIAN PROTEKSI DAN METER,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,"JUNIOR OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN",G1,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KEUANGAN DAN AKUNTANSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KEUANGAN DAN ANGGARAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER LINGKUNGAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER PERENCANAAN DAN KINERJA,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SENIOR OFFICER KINERJA OPERASI SISTEM DISTRIBUSI,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SENIOR OFFICER KOMUNIKASI DAN TJSL,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SENIOR OFFICER PELAKSANA PENGADAAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SENIOR OFFICER PENGAMANAN PENDAPATAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SENIOR OFFICER PERENCANA PENGADAAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SENIOR OFFICER PERENCANAAN SISTEM KELISTRIKAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SPECIALIST KINERJA KONSTRUKSI,SPC,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER ASET PROPERTI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,"OFFICER KESELAMATAN, KESEHATAN KERJA, DAN KEAMANAN",G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,"OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN",G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER KINERJA JARINGAN,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER LOGISTIK,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER PERENCANAAN DAN EVALUASI SISTEM DISTRIBUSI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER PERENCANAAN DAN KINERJA,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,SENIOR OFFICER PENGAMANAN PENDAPATAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,SENIOR OFFICER SENIOR PRIORITY ACCOUNT EXECUTIVE,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,SPECIALIST KINERJA KEUANGAN,SPC,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,SPECIALIST KINERJA PERUSAHAAN,SPC,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN LAYANAN PELANGGAN",G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TECHNICIAN PEMELIHARAAN ELEKTROMEKANIK,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,OFFICER KOMUNIKASI,G2,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER AKUNTANSI,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER IPP DAN EXCESS POWER,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER KOMUNIKASI DAN TJSL,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER LOGISTIK LAYANAN PELANGGAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER PELAYANAN PELANGGAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER PERENCANA PENGADAAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER PERENCANAAN SISTEM KELISTRIKAN,G3,3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR TECHNICIAN PENGENDALIAN LISTRIK PERDESAAN,G3,3
