unit_induk,nama_pendek,bulan,realisasi
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-11,550
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-12,548
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2026-01,548
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2026-02,548
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2026-03,548
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2024-12,801
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-01,797
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-02,795
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-03,793
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-04,796
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-05,796
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-06,792
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-07,790
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-08,791
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-11,785
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2025-12,782
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2026-01,807
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2026-02,806
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,UID Riau & Kepri,2026-03,807
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2024-12,991
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-01,989
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-02,984
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-03,989
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-04,984
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-05,981
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-06,977
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-07,975
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-08,975
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-11,967
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2025-12,969
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2026-01,967
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2026-02,965
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",UID S2JB,2026-03,964
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2024-12,1404
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-01,1404
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-02,1406
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-03,1406
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-04,1402
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-05,1398
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-06,1398
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-07,1398
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-08,1395
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-11,1387
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2025-12,1376
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2026-01,1389
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2026-02,1383
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",UID Sulselrabar,2026-03,1374
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2024-12,1015
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-01,1014
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-02,1010
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-03,1010
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-04,1008
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-05,1006
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-06,1005
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-07,1003
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-08,1001
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-11,996
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2025-12,988
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2026-01,987
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2026-02,987
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",UID Suluttenggo,2026-03,986
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2024-12,773
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-01,774
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-02,775
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-03,775
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-04,778
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-05,777
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-06,778
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-07,776
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-08,774
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-11,762
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2025-12,759
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2026-01,758
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2026-02,756
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,UID Sumbar,2026-03,752
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2024-12,1301
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-01,1296
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-02,1319
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-03,1311
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-04,1302
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-05,1293
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-06,1294
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-07,1293
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-08,1292
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-11,1278
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2025-12,1273
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2026-01,1280
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2026-02,1277
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,UID Sumut,2026-03,1274
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2024-12,77
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-01,77
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-02,77
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-03,77
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-04,76
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-05,76
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-06,76
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-07,76
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-08,76
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-11,75
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2025-12,75
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2026-01,74
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2026-02,74
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,UIK Tanjung Jati B,2026-03,74
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2024-12,258
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-01,257
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-02,257
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-03,257
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-04,258
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-05,258
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-06,258
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-07,258
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-08,256
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-11,256
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2025-12,255
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2026-01,258
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2026-02,258
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,UIP JBB,2026-03,253
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2024-12,269
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-01,268
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-02,267
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-03,268
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-04,267
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-05,267
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-06,267
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-07,267
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-08,267
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-11,264
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2025-12,269
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2026-01,266
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2026-02,267
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,UIP JBT,2026-03,266
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2024-12,208
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-01,206
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-02,209
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-03,209
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-04,207
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-05,206
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-06,206
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-07,205
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-08,205
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-11,209
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2025-12,210
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2026-01,212
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2026-02,214
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,UIP JBTB,2026-03,214
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2024-12,142
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-01,142
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-02,143
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-03,144
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-04,142
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-05,141
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-06,141
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-07,141
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-08,142
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-11,142
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2025-12,143
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2026-01,143
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2026-02,143
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,UIP Kalimantan Bag Barat,2026-03,142
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2024-12,195
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-01,192
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-02,192
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-03,190
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-04,190
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-05,189
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-06,187
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-07,186
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-08,185
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-11,185
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2025-12,185
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2026-01,186
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2026-02,185
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,UIP Kalimantan Bag Timur,2026-03,185
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2024-12,160
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-01,160
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-02,159
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-03,156
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-04,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-05,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-06,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-07,153
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-08,153
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-11,152
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2025-12,151
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2026-01,152
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2026-02,153
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,UIP Maluku dan Papua,2026-03,159
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2024-12,156
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-01,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-02,155
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-03,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-04,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-05,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-06,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-07,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-08,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-11,154
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2025-12,153
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2026-01,152
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2026-02,153
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,UIP Nusa Tenggara,2026-03,153
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2024-12,235
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-01,234
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-02,236
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-03,233
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-04,235
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-05,235
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-06,235
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-07,236
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-08,239
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-11,233
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2025-12,240
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,UIP Sulawesi,2026-01,241
